Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
4 Years of FAN,Azhar Shaikh@Azhar0555·Apr 14,NA,0,0,0,0,4 years of fan  aryan khanna 1415,"6:57 PM · Apr 14, 2020",0,15,0,14,,,0,0
4 Years of FAN,Footy Accumulators@FootyAccums·Apr 21,NA,0,0,0,0,"TWO YEARS AGO TODAY: A bunch of Wolves fans in an executive box celebrate their team's 4-0 win at Bolton! 

This win also confirmed their return to the Premier League! 1063895","12:32 PM · Apr 21, 2020",0,895,10,63,,,0,0
4 Years of FAN,Pop Tingz | Pop Culture & Music Expert@ThePopTingz·13h,NA,0,0,0,0,"4 years after its release and after fans trended #JusticeForGlory, 
Britney Spears' ninth album “Glory” returns to the Top 20 of US iTunes!8117340","6:57 PM · May 3, 2020",1,340,8,117,#JusticeForGlory,,0,0
4 Years of FAN,"Giants Called Me, HYPED@Gilbertbelieve2·Apr 20",NA,0,0,0,0,"4/20 will now be referred to as national #GodofWar day amongst PlayStation fans. Released two years ago, and it is still the Greatest Game of this Generation so far. Bring on Part 2 on #PS5 211861.7K","8:02 PM · Apr 20, 2020",0,1700,21,186,"#GodofWar,#PS5",,0,0
4 Years of FAN,Marley@MarleyThirteen·Apr 20,NA,0,0,0,0,"After 4 years away Scottish COD Players RETURNS Thursday April 23rd in aid of NHS Charities Together 

SCP fans, let's raise as much money as possible to help the incredible NHS staff & volunteers on the frontline of the COVID-19 pandemic

Donate here: https://justgiving.com/fundraising/scp25…753121.6K","5:00 PM · Apr 20, 2020",0,1600,75,312,,,0,1
4 Years of FAN,nadine @abstractnadine·Apr 19,NA,0,0,0,0,Habis bongkar2 and i found my assignment from around... 4 years ago? I was 13-14 y.o. in JHS. I did full watercolor untuk pameran  kelihatan bgt umur 13 i just threw whatever colors i think was pretty enough. Oh and i was a BIG fan of Ghibli (i still am sampe skrg) 8462,"2:17 PM · Apr 19, 2020",0,62,8,4,,,0,0
4 Years of FAN,Yash Shukla (#AsimSquad)@YashasviShukla7·Apr 14,NA,0,0,0,0,"Losers kept barking, & Asim won millions of hearts. Even after working in the industry for so many years they are not able to gather the kind of fan following that Asim gained in just 4 months. He proved everybody wrong by his brilliant game. #AsimRiaz #AsimSquad83885","7:44 AM · Apr 14, 2020",1,85,8,38,"#AsimRiaz,#AsimSquad",,0,0
4 Years of FAN,srkian@srkrules·Apr 15,NA,0,0,0,0,"Srkians on 4 years of Fan 
#4YearsOfFAN23","8:46 AM · Apr 15, 2020",0,3,0,2,#4YearsOfFAN,,0,0
4 Years of FAN,90 Minutes Or Less Film Fest@90minfilmfest·Apr 20,NA,0,0,0,0,"The @Criterion Collection have been releasing Blu-rays in the UK for 4 years!  To celebrate, they're giving our pod fans the chance to win FOUR of their 2020 releases!  For a chance to win, just follow us and RT this #Criterion tweet 6301116","1:26 PM · Apr 20, 2020",0,116,6,301,#Criterion,@Criterion,339547,0
4 Years of FAN,Azhar Shaikh@Azhar0555·Apr 14,NA,0,0,0,0,Celebration 4 years of Fan 108,"6:43 PM · Apr 14, 2020",0,8,0,10,,,0,0
4 Years of FAN,Portsmouth FC@Pompey·Apr 29,NA,0,0,0,0," 81 years ago today, we won the FA Cup for the first time in our history!

 #Pompey beat Wolves 4-1 in front of almost 100,000 fans at Wembley to claim the trophy1246432","4:30 PM · Apr 29, 2020",0,432,12,46,#Pompey,,0,0
4 Years of FAN,𝐃𝐚𝐧𝐝𝐞𝐥𝐢𝐨𝐧 @kkotgil131·Apr 22,NA,0,0,0,0,"[2016.04.23] 4 years ago, Hanbin was separated from his pet tortoise (name: Michelangelo) because he had to fly back to Korea

Hanbin looked back thrice to remind his fans to take care of the turtle
#SweetLikeCandy131108258","5:37 PM · Apr 22, 2020",0,258,0,108,#SweetLikeCandy131,,0,0
4 Years of FAN,Des@Dessy_324·Apr 16,NA,0,0,0,0,"Hey @lildickytweets ! I've been a huge fan for years now! Watching episode 4 of your show, I noticed we have the same exact same sweater!

So hear me out, as a fan (who obviously shares your great style) AND as an aspiring actress, it's only right that you put me in an episode!21754","11:11 PM · Apr 16, 2020",1,54,2,17,,@lildickytweets,619669,0
4 Years of FAN,Mike Klis@MikeKlis·May 1,NA,0,0,0,0,"Bronco fans never cease to amaze. It's been 4 years since playoffs, but I think Bronco fans appreciate how Elway goes for it every year. He may not always hit. But he always goes for it. Broncoland seems to have confidence in direction of team. #9sportsQuote TweetProFootballTalk@ProFootballTalk · May 1Despite three straight losing seasons and an ongoing pandemic, the Broncos have a 95-percent season-ticket renewal rate https://wp.me/pbBqYq-bwqB3875773","8:42 PM · May 1, 2020",0,773,38,75,#9sports,,0,0
4 Years of FAN,Kill  Commissions Open@Killtasticles·12h,NA,0,0,0,0,"I guess we will do this by likes.
I struggled at how to digitally paint while in school and it took me some time to grasp it. I've only been digitally drawing for 4 years now. Everything before that was traditional. I was a big fan of inking with those dipping pens21","7:56 PM · May 3, 2020",0,1,2,0,,,0,0
4 Years of FAN,The Football Arena@FootballlArena·Apr 20,NA,0,0,0,0,"In 2009 signed for Real Madrid 
⠀
In 2012, Ronaldo said he owes Real Madrid fans the Champions League... He won 4 of them in 5 years, 3 of them back-to-back-to-back.⠀
⠀
He said, he did! 242165","5:16 PM · Apr 20, 2020",0,165,2,42,,,0,0
4 Years of FAN,Will Reilly@97WillReilly·Apr 15,NA,0,0,0,0,"Very excited and proud to sign my first NHL contract with the @penguins! Thank you to @RPIAthletics , @RPI_Hockey , my coaches, teammates and the fans for the best 4 years of my life. I’m so grateful I had the opportunity to play at such a great place. Gonna miss it! #GoPensGo4090911","3:53 PM · Apr 15, 2020",1,911,40,90,#GoPensGo,"@penguins,@RPIAthletics,@RPI_Hockey",1866637,0
4 Years of FAN,Mod@CFCMod_·May 2,NA,0,0,0,0,"4 years ago today Eden Hazard fired it top corner against Spurs to end their title hopes and cemented the league for Leicester. He really went on to do his iconic knee slide in front of their fans too, what a game man.272142.1K","9:23 AM · May 2, 2020",0,2100,27,214,,,0,0
