Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
AvengersEndgame,best of chris evans@bestofcevans·May 3,NA,0,0,0,0," New | Chris Evans, Robert Downey Jr, Chris Hemsworth, Mark Ruffalo, Scarlett Johansson and Jeremy Renner teamed up to send a message to Kids Choice Awards, happening tonight, after winning Best Movie for Avengers Endgame. Check it out!1:2864.8K views281.4K5.1K","1:36 AM · May 3, 2020",1,5100,28,1400,,,0,0
AvengersEndgame,RDJ JP@luvrobertdowney·May 3,NA,0,0,0,0,"Kids Choice Awards 2020
Favorite Movie is ""Avengers:Endgame""!1:2415.1K views3307579","1:09 AM · May 3, 2020",1,579,3,307,,,0,0
AvengersEndgame,ϟ@cevans_rdj·2h,NA,0,0,0,0,"i miss them

#AvengersEndgame4","4:13 AM · May 4, 2020",1,4,0,0,#AvengersEndgame,,0,0
AvengersEndgame,Marcela @MarceCRM·7h,NA,0,0,0,0,I love this. #ScarlettJohansson #ChrisEvans #ChrisHemsworth #JeremyRenner #markruffalo #RobertDowneyJr #KidsChoiceAwards Favorite movie. #AvengersEndgame 1:32167 views158,"11:11 PM · May 3, 2020",1,8,1,5,"#ScarlettJohansson,#ChrisEvans,#ChrisHemsworth,#JeremyRenner,#markruffalo,#RobertDowneyJr,#KidsChoiceAwards,#AvengersEndgame",,0,0
AvengersEndgame,Joey @kiss_and_roses·May 1,NA,0,0,0,0,"Avengers: Endgame (2019)
Tony Stark, Steve RogersGIF1189421","2:45 PM · May 1, 2020",1,421,1,189,,,0,0
AvengersEndgame,Television & Movies @tvs_movies·May 2,NA,0,0,0,0,Avengers Endgame Plot hole & continuity error video went viral on tiktok0:4159.5K viewsFrom Bagel Boy903281K,"4:04 PM · May 2, 2020",1,1000,90,328,,,0,0
AvengersEndgame,The Hollywood Reporter@THR·Apr 30,NA,0,0,0,0,"Joe and Anthony Russo, the filmmakers behind #AvengersEndgame and #InfinityWar, are set to produce Disney's live-action #Hercules remake'Hercules' Live-Action Remake in the Works From Disney, 'Shang-Chi' Writer (Exclusive)Joe and Anthony Russo are producing, but not directing, the remake via their AGBO banner.hollywoodreporter.com32167549","8:40 PM · Apr 30, 2020",1,549,32,167,"#AvengersEndgame,#InfinityWar,#Hercules",,0,2
AvengersEndgame,jay •@pineapplebreads·May 1,NA,0,0,0,0,"""It wasn't worth it.""

#AvengersEndgame684111K","2:15 PM · May 1, 2020",1,1000,68,411,#AvengersEndgame,,0,0
AvengersEndgame,A Comics@comics_a·Apr 28,NA,0,0,0,0,"I love all the callbacks in Avengers Endgame. 
#AvengersAssemble650","12:25 AM · Apr 28, 2020",1,50,0,6,#AvengersAssemble,,0,0
AvengersEndgame,Nickelodeon@Nickelodeon·18h,NA,0,0,0,0,did you catch this Avengers: Endgame reunion during #KCA2020? 1:2947.6K views305762K,"12:23 PM · May 3, 2020",1,2000,30,576,#KCA2020,,0,0
AvengersEndgame," Patrochilles,@UchihaNippa·May 2",NA,0,0,0,0,"Marvel: Avengers Endgame is the most ambitious crossover event in history 

This:0:18145.6K viewsFrom ด.ช.ต้นไม้ต้นใหญ่571","3:42 PM · May 2, 2020",1,1,0,57,,,0,0
AvengersEndgame,MCU Direct@MCU_Direct·Apr 28,NA,0,0,0,0,Stormbreaker impalement. More new #AvengersInfinityWar and #AvengersEndgame BTS photos: https://thedirect.com/article/37-behind-the-scenes-photo-reveals-from-the-avengers-endgame-watch-party…165645.4K,"8:52 PM · Apr 28, 2020",1,5400,16,564,"#AvengersInfinityWar,#AvengersEndgame",,0,1
