Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
MayThe4thBeWithYou,The Sting@TheSting17,2019-09-23 11:09:37,0,5011,5309,11,"#MayThe4thBeWithYou so 'ere's Brick Vader to celebrate. Put the kettle on Errol.
Sound on for this one. 2:195K views1148153","7:34 AM · May 4, 2020",1,153,11,48,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,alivia @aliviahannant,2013-01-11 21:00:07,0,204,121,1,*blows kiss to the stars* for luke skywalker  #MayThe4thBeWithYou0:2822.3K viewsFrom 𝒟𝒶𝓃𝒾𝑒ℒ365197,"7:43 AM · May 4, 2020",1,197,3,65,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,The Mary Rose@MaryRoseMuseum,2009-07-28 11:37:19,1,20544,1533,461,"Closed, we are, but celebrate #StarWarsDay, we must!

#MayThe4thBeWithYou0:30","8:14 AM · May 4, 2020",1,0,0,0,"#StarWarsDay,#MayThe4thBeWithYou",,0,0
MayThe4thBeWithYou,Britton Wearn@BCWearn,2014-12-19 18:40:28,0,65,70,0,It's #StarWarsDay and Yoda has visited! #MayThe4thBeWithYou11,"8:13 AM · May 4, 2020",0,1,0,1,"#StarWarsDay,#MayThe4thBeWithYou",,0,0
MayThe4thBeWithYou,Words From Blerds (Podcast At Home)@WordsFromBlerds,2018-03-29 15:49:42,0,69,174,0,"shout out to the legend, finn 
you deserved better #MayThe4thBeWithYou0:581.4K views2322","7:17 AM · May 4, 2020",1,22,2,3,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,ℯ𝓇𝒾𝒸𝓀𝒶@valcontents_,2018-11-03 11:51:34,0,87,513,1,It’s Star Wars day lemme post this again! #MayThe4thBeWithYou0:143.8K views350156,"7:17 AM · May 4, 2020",1,156,3,50,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,𝑻𝒉𝒆 𝑭𝒖𝒓𝒚 𝒐𝒇 🅟🅢🅛@penswolo,2020-02-16 11:26:57,0,5,97,0,"I have more than this but I’m too lazy to bring it out. 
#MayThe4thBeWithYou","8:13 AM · May 4, 2020",0,0,0,0,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,Shana Fierce@shanafrc,2010-01-10 11:53:37,0,8290,351,362,The tragic story that started it all. #MayThe4thBeWithYou19306892,"7:04 AM · May 4, 2020",0,892,19,306,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,tcw spoilers !! | the finale broke me .@padmesanckin,2019-09-15 20:03:33,0,2291,760,40,"happy star wars day 
#MayThe4thBeWithYou0:3213.1K viewsFrom tcw spoilers !! | the finale broke me .134109","7:23 AM · May 4, 2020",1,109,1,34,#MayThe4thBeWithYou,,0,0
MayThe4thBeWithYou,Team Secret@teamsecret,2014-11-07 15:06:19,1,383518,193,941,"Today is the only day you can retweet this, don't mess it up #MayThe4thBeWithYou0:086.4K views3265336","7:48 AM · May 4, 2020",1,336,3,265,#MayThe4thBeWithYou,,0,0
