Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
economical crisis,Coffin Meme@CoffinDance__·May 1,NA,0,0,0,0,"In Lebanon, because of the economical crisis. 
RT to support 1.1K views0:00 / 0:2411626","2:37 PM · May 1, 2020",1,26,1,16,,,0,0
economical crisis,laxmikanta@laxmikantad·17h,NA,0,0,0,0,"It's a severe economical crisis. Govt and authorities as well as schools should think about it.Quote TweetYogesh Chaudhary @yogeshbhagaur · May 3Please consider Parents request and waive off fee as many are facing economical crises. @myogioffice
@myogioffice @HRDMinistry
#NoSchoolFeeQ1 @drdineshbjp Please Help and instruct Schools to waive off fee.11","1:23 PM · May 3, 2020",0,1,0,1,,,0,0
economical crisis,𝓂𝒶𝓇𝒾𝒶 @mariarassy·Apr 28,NA,0,0,0,0,"At this point i feel @TarekMMajzoub is waiting for an alien attack to cancel exams 
Already corona, revolution, economical and financial crisis, hunger, thousands of people losing their jobs and more stuff happened this year
What are you waiting for?
#الغاء_الامتحانات_الرسمية817","4:20 PM · Apr 28, 2020",0,17,0,8,#الغاء_الامتحانات_الرسمية,@TarekMMajzoub,49187,0
economical crisis,𝐇𝐄𝐀𝐕𝐘 SAY SO FOR #1@Charbelh_·7h,NA,0,0,0,0,"Even an economical crisis couldn't stop them from living and trying their best to keep themselves and their families alive.
We're smart.
We're generous.
Always searching for happiness and joy in every corner.
We deserve better politicians and leadersThe following media includes potentially sensitive content. Change settingsView49","11:31 PM · May 3, 2020",0,9,0,4,,,0,0
economical crisis,Latif Zour@ZourLatif·2h,NA,0,0,0,0,"He is muhammaed yousuf bilali a primary teacher,commited suicide today at morning due to economical crisis...
#SaeedGhani","5:15 AM · May 4, 2020",1,0,0,0,#SaeedGhani,,0,0
economical crisis,Jeannette Brendah@jean_brendah·8h,NA,0,0,0,0,Replying to @BravinYuriMagufuli is the only sane African president who sees the economical war.Corona is not a major crisis in Africa.The numbers are too small to put our economy on hold.This reminds me of Gaddafi in 2011.Whatever little good that comes from Africa is doubted and ridiculed. In Time.18,"10:37 PM · May 3, 2020",0,8,0,1,,@BravinYuri,83265,0
economical crisis,stfu@nonotagain69·May 1,NA,0,0,0,0,"Why are many schools so keen in conducting  classes? I don't think, a student who is in kindergarden or upto grade 10 really needs an ""online class"" while in middle of a global health and economical crisis. Schools are doing it because they want parents to pay the fees upto 04/20Quote TweetKarma Tenzing@karma10zing · Apr 30From “The Routine of Nepal Banda” page on Facebook.

Cancel online classes? So what are the viable options instead? And how on earth do schools educate children when they are closed? Door-to-Door delivery of Teachers? Show this thread110","11:05 AM · May 1, 2020",0,10,1,0,,,0,0
economical crisis,KattaNews@katta_news·May 2,NA,0,0,0,0,"Neither Central Government Nor State Government have a detail list of Migrants.
Migrants played a Major role for Building a Nation but at time of crisis all are not taken into consideration.
No travelling,No Health and No Economical Package support.621111","1:16 PM · May 2, 2020",0,111,6,21,,,0,0
economical crisis,WeCanDoBetterAmerica@finnegan_peter·5h,NA,0,0,0,0,"Replying to @finnegan_peter @star_savvy and @NBCNewsA Dr doesn’t comment on the economical; a Dr comments on the health crisis; economists weigh the economic outcome; and a politician makes a decision... for which, we (you and I) hold them accountable. 
So yeah to blame only the Doctors, is very stupid indeed.2","2:17 AM · May 4, 2020",0,0,2,0,,"@finnegan_peter,@star_savvy,@NBCNews",7560645,0
economical crisis,Hussein Cheaito@hsench96·22h,NA,0,0,0,0,An economical crisis is not the same as an economic crisis. They’re not the same. They can’t bs used interchangeably. Please.3,"8:44 AM · May 3, 2020",0,3,0,0,,,0,0
economical crisis,Piyush Kedia@Piyushkedia_4·May 1,NA,0,0,0,0,"Replying to @canacofficialI feel ki Exams should be cancelled as first of all students life will be at huge risk, secondly this pandemic has led to a short term economical crisis which will surely be very bad to face for new CAs after this attempt when they will search for jobs.118","6:12 PM · May 1, 2020",0,8,1,1,,@canacofficial,50972,0
economical crisis,Kumar Chinmay@kumarchinmay629·Apr 30,NA,0,0,0,0,"Replying to @kumarchinmay629 and @dmgbnagarThe only reason for leaving the place seems the economical crisis during this pandemic. 
It will be a vast drill to perform in transporting we students to home. On other hand UGC had released the academic calendar according to which new session will start from 1 August.2","9:51 PM · Apr 30, 2020",0,0,2,0,,"@kumarchinmay629,@dmgbnagar",104230,0
economical crisis,DEMOCRATIST@DEMOCRATIST14·Apr 3,NA,0,0,0,0,"#मोदी_मदारी_बंदर_कौन
#9baje9minute #मोदी_मदारी_बंदर_कौन
#ModiVideoMessage
On Medical Staffs ___________

On Poor Laborers __________

On Economical Crisis _________

Flashlight, candles, diya ________
Scientific Reason for this step by bhakts...47147365","5:38 AM · Apr 3, 2020",0,365,47,147,"#मोदी_मदारी_बंदर_कौन,#9baje9minute,#मोदी_मदारी_बंदर_कौन,#ModiVideoMessage",,0,0
economical crisis,Faizan Razzaque@FayzanAbro·Apr 12,NA,0,0,0,0,"Post COVID-19 Pakistan was already facing worst economical crisis due to incompetence of Selected PTI Government. 

May Allah heal my Country.. 

#ImranFailedPakistan21716","1:12 PM · Apr 12, 2020",1,16,2,17,#ImranFailedPakistan,,0,0
economical crisis,Seokjin's Articles Account@SeokjinArticle·Apr 22,NA,0,0,0,0,"New Naver articles about rapper Sleepy mentioning Seokjin again on a variety show– JTBC’s 정산회담. He talked about how Jin helped him during economical crisis.
Like and Recommend please 

1 https://n.news.naver.com/entertain/article/108/0002857773…
2.https://n.news.naver.com/entertain/article/109/0004195070…
#JIN #진171109","4:51 AM · Apr 22, 2020",0,109,1,71,"#JIN,#진",,0,2
economical crisis,Catalana Decebuda AT HOME@CatalanaDecebud·Apr 4,NA,0,0,0,0,"What is your government thinking about??!!

Please protect yourselves or we won’t be able to stop worldwide sanitarial and economical crisis.

@nytimes @WSJopinion @JimmyKimmelLive @ConanOBrien @The_lateshow @jimmyfallon @jayleno @TheEllenShow @Kristan_Higgins @SEPauthor
1:35593 views238","9:20 AM · Apr 4, 2020",1,8,2,3,,"@nytimes,@WSJopinion,@JimmyKimmelLive,@ConanOBrien,@The_lateshow,@jimmyfallon,@jayleno,@TheEllenShow,@Kristan_Higgins,@SEPauthor",210101454,0
economical crisis,Dia@xdianaceja·Mar 25,NA,0,0,0,0,"Hi all. On Monday morning, my family found out that my grandma passed away. As most of you can assume, we’re struggling & doing what we can to help organize her services during this global health and economical crisis. Please take a min to RT our GoFundMe link. Thank you 14024","11:49 PM · Mar 25, 2020",0,24,1,40,,,0,0
economical crisis,lucila  BAZOOKA!@WITCHJEONG·Apr 14,NA,0,0,0,0,"Jeongyeon Unnie, what do you think about the current economical crisis going on in Latin America??? Do you think it has to do with socialist services, or the constant interference of the Imperialist Nation of the USA in fears they fall under communism??? 트와이스 화이팅 ㅜㅜ3427","3:47 AM · Apr 14, 2020",0,27,3,4,,,0,0
economical crisis,vivi⁶@beanguni·Apr 24,NA,0,0,0,0,sorry for my absence my country is in a major political crisis in the middle of a major economical crisis in the middle of a pandemic so i was a little down2723,"9:57 PM · Apr 24, 2020",0,23,2,7,,,0,0
economical crisis,Hans Lak  #FightEveryCrisis@HansLak·Apr 22,NA,0,0,0,0,"The world will have to act as one to prevent millions of deaths as a result of the #coronavirus economical crisis! We have to rethink aid! Have to rethink our global operation system! GREED KILLS. 
We need an emergency basic income…https://lnkd.in/eM4nk_gCoronavirus pandemic 'will cause famine of biblical proportions'Governments must act now to stop 265 million starving, warns World Food Programme bosstheguardian.com1213","5:48 AM · Apr 22, 2020",0,13,0,12,#coronavirus,,0,3
economical crisis,All for Jin@jinnieslamp·Apr 22,NA,0,0,0,0,"[#JinUpdate] 200422 Sleepy mentioned #JIN again on a variety show– JTBC’s 정산회담. He talked about how Jin helped him when he was in economical crisis.
https://n.news.naver.com/entertain/article/108/0002857773…
http://m.ccdailynews.com/news/articleView.html?idxno=1063177…
https://n.news.naver.com/entertain/article/109/0004195070…
#방탄소년단진 #진 #김석진 #방탄진 @BTS_twt6199442","12:57 AM · Apr 22, 2020",0,442,6,199,"#JinUpdate,#JIN,#방탄소년단진,#진,#김석진,#방탄진",@BTS_twt,25437850,3
economical crisis,nuff crisis@muihura·13h,NA,0,0,0,0,Replying to @BravinYuriThis is an economical war real eyes realise real eyes read thru the lines and think for urself1,"5:58 PM · May 3, 2020",0,1,0,0,,@BravinYuri,83265,0
economical crisis,Luminous Epoque@LuminousEpoque·14h,NA,0,0,0,0,"Replying to @davidluhnowShit's already hitting the fan here. AMLO's popularity keeps decreasing and it's all due to the insecurity crisis—that's gotten incredibly worse—and the way his government is handling the pandemic.

Needles to say, when Pemex falls, it'll be Mexico's economical demise.1","5:21 PM · May 3, 2020",0,1,0,0,,@davidluhnow,49299,0
economical crisis,Ajay Kumar@AjayKumar2024·May 3,NA,0,0,0,0,"Is investigating 20,000 crore in central vista project at this point is wise when the country is facing severe crisis n lakhs of crore is required for its social n economical safeguards @ndtv @INCIndia @ArvindKejriwal @RahulGandhi @ShashiTharoor1","5:23 AM · May 3, 2020",0,1,0,0,,"@ndtv,@INCIndia,@ArvindKejriwal,@RahulGandhi,@ShashiTharoor",59444323,0
economical crisis,"Christina Khoury, PharmD@thisisCKhoury·May 2",NA,0,0,0,0,"As if both economical and public health crises werent a huge burden on the lebanese, we now welcome our garbage crisis Summer 20 collection. With so many policies and “reforms” on waste management, we are stuck in a political feud on who gets what!! Shame on this political class27","9:08 PM · May 2, 2020",0,7,0,2,,,0,0
