Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
kohli,Trollvk_haters™@TrollvkH,2019-06-17 14:27:18,0,2540,3,2,"Cricket Isn't A Global Sport , There Are Number of Countries Which Doesn't Know What's Cricket All About!

Then There's @imVkohli 
Man Breaking All Windows And Becoming A GLOBAL Star..

King KOHLI 
#GOATkohli ..!!!",9:13 pm · 22 Feb 2020,0,564,10,102,#GOATkohli,@imVkohli,33856642,0
kohli,ICC@ICC,2010-08-12 12:32:41,1,10469222,564,5070,"Trent Boult bounces out the big fish!

Boult probed Kohli with the fuller stuff and then delivered the sharp bouncer. Kohli was rushed on the pull shot and only got an edge to the keeper.

#NZvIND",10:39 am · 23 Feb 2020,1,3400,59,106,#NZvIND,,0,0
kohli,`@FourOverthrows,2018-03-11 09:40:52,0,1425,268,6,"Virat Kohli against Trent Boult across formats since the start of 2019:

Balls : 25
Runs : 7
Wickets: 4

#NZvIND",11:20 am · 23 Feb 2020,1,726,20,135,#NZvIND,,0,0
kohli,Johns.@CricCrazyJohns,2016-06-17 09:20:39,0,9634,471,78,"Most Runs for India in tests:

Sachin - 15921
Dravid - 13265
Gavaskar - 10122
Laxman - 8781
Sehwag - 8503
Kohli - 7216**

He has gone past former Indian captain Ganguly in test runs.

#NZvIND",9:54 am · 23 Feb 2020,0,1400,20,140,#NZvIND,,0,0
kohli,Troll Dhawan Haters@Dhawanswarrior,2015-04-07 08:43:43,0,3079,178,8,"Kohli after this test series....
#Thankyoukohli",11:01 am · 23 Feb 2020,1,304,13,55,#Thankyoukohli,,0,0
kohli,Rohit Sharma™@Ro45FC_,2019-11-19 06:46:03,0,1004,146,0,"Highest Average in Away from home in Test Cricket among Indians:

54.74 - Sachin Tendulkar
53.61 - Rahul Dravid
52.11 - Sunil Gavaskar
51.86 - M Amarnath
46.76 - Ajinkya Rahane
46.12 - Virat Kohli
44.73 - Sehwag
43.61 - Gautam Gambhir

#NZvIND",12:30 pm · 23 Feb 2020,1,703,13,94,#NZvIND,,0,0
kohli,CricketMAN2@man4_cricket,2020-02-14 07:02:46,0,101,30,0,"1, 8, 25, 0, 39, 28, 0, 7, 6, And 20 in 2014 (139 runs)

149, 51, 23, 17, 97, 103, 46, 58, 49, 0 in 2019 (593 runs)

Anderson Could not Dismiss Kohli even once in 2018.

#KingKohli #ViratKohli",7:33 pm · 22 Feb 2020,1,606,16,77,"#KingKohli,#ViratKohli",,0,0
kohli,CricketMAN2@man4_cricket,2020-02-14 07:02:46,0,101,30,0,"Fastest Odi Century for India (by balls)

Kohli - 52
Sehwag - 60
Kohli - 61
Azharuddin - 62
Yuvraj - 64

Who's Name in the top 5 Twice
Hey, who is making the Cricket World Rule right Now. - @imVkohli.",8:21 pm · 20 Feb 2020,0,595,10,84,,@imVkohli,33856642,0
kohli,Silly Point@FarziCricketer,2016-02-26 06:23:27,0,23051,302,127,Kohli failed on New Zealand tour.,10:44 am · 23 Feb 2020,1,667,19,96,,,0,0
kohli,Sнєяℓσ¢к Hσℓмєѕ@imBatasari,2019-10-16 03:10:02,0,757,29,2,"Indian Cricket Team:

Ganguly gave it a spine

Kumble gave it a heart.

Dhoni gave it brains.

Now, Kohli is giving it Guts . 

@imVkohli",6:18 pm · 22 Feb 2020,1,781,18,96,,@imVkohli,33855939,0
