Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
liqour,The Times Of India@timesofindia·7h,NA,0,0,0,0,"Rs 52,800 liquor bill goes viral; seller, buyer under lens

The liquor bill of Rs 52,800 that went viral on WhatsApp across India has got both the seller and buyer into trouble.

READ-- http://toi.in/Edcika55/a24gk3088503",6:03 am · 5 May 2020,1,503,30,88,,,0,1
liqour,ANI@ANI·7h,NA,0,0,0,0,"Delhi: Long queue of people outside a liquor shop in Mayur Vihar Phase -1 area amid #CoronaLockdown. Delhi Government has imposed a ""Special Corona Fee"" of 70% tax on Maximum Retail Price (MRP) of the liquor.3964376",5:48 am · 5 May 2020,1,376,39,64,#CoronaLockdown,,0,0
liqour,Harshit Sharma@Sharmajikaputtr·5h,NA,0,0,0,0,"People: How will liquor help in improving economy?

Govt: *imposes 70% tax on liquor *

Meanwhile Economy:179",7:21 am · 5 May 2020,1,9,1,7,,,0,0
liqour,AFP news agency@AFP·6h,NA,0,0,0,0,"VIDEO:  Chaos outside liquor stores as India eases virus lockdown.

Police disperse thirsty Indians jostling to buy alcohol for the first time in 40 days as the government eased further the world's biggest #coronavirus lockdown0:424.4K views56548",7:03 am · 5 May 2020,1,48,5,65,#coronavirus,,0,0
liqour,NDTV@ndtv·6h,NA,0,0,0,0,"Despite 70% rise in taxes on liquor, there are large number of people queuing up outside shops in Delhi, flouting social distancing norms.24.6K views0:00 / 0:291161971K",6:12 am · 5 May 2020,1,1000,116,197,,,0,0
liqour,ANI@ANI·8h,NA,0,0,0,0,"#WATCH Delhi: A man showers flower petals on people standing in queue outside liquor shops in Chander Nagar area of Delhi. The man says, ""You are the economy of our country, government does not have any money"".  #CoronaLockdown0:22109.1K views4512.4K7.9K",4:49 am · 5 May 2020,1,7900,451,2400,"#WATCH,#CoronaLockdown",,0,0
liqour,Shashi Shankar Singh@Morewithshashi·5h,NA,0,0,0,0,"Just In: Chhattisgarh government has started home delivery of liquor in green zones in the state. A customer can place an online order for up to 5000ml liquor at a time, with delivery charges of Rs 120.32544",7:23 am · 5 May 2020,0,44,3,25,,,0,0
liqour,Sarcasm™@SarcasticRofl·5h,NA,0,0,0,0,"Kids buy Relief measures 
Teenagers buy MLA
Adults buy Liquor
Legends ""Rent"" Journalist",7:36 am · 5 May 2020,1,0,0,0,,,0,0
liqour,ANI@ANI·8h,NA,0,0,0,0,"Karnataka: People use water bottles, bags, helmets, slippers etc to reserve their places in queue, outside liquor shops in Gokul road area of Hubli. #CoronaLockdown862051K",4:17 am · 5 May 2020,1,1000,86,205,#CoronaLockdown,,0,0
liqour,Mufti Islah@islahmufti·8h,NA,0,0,0,0,"Liquor is not bread, roti, sabzi or daal that needs to be made available. Why are the shops allowed to open in first place? Now don't tell us those lining up at liquor shops are Tabligis.2853508",5:04 am · 5 May 2020,0,508,28,53,,,0,0
liqour,NDTV@ndtv·7h,NA,0,0,0,0,"No social distancing, large crowd at a government liquor shop in Delhi. Delhi Government has imposed a ""Special Corona Fee"" of 70% tax on MRP of liquor. (ANI)3359326",5:41 am · 5 May 2020,1,326,33,59,,,0,0
liqour,Yousuf A Khan@YAKHAN363·12h,NA,0,0,0,0,"Bottle Gang leading towards liquor shops by breaking social distancing norm & endangering their lives and lives of the fellow citizens #LiquorShops #LiquorFreeIndiaQuote TweetMazhar Farooqui@Mazharfarooqui · 12hEveryone has their own path, but it appears all of them lead to the liquor store!  #IndiaLockdown #coronavirusinindia1111",1:03 am · 5 May 2020,0,11,0,11,"#LiquorShops,#LiquorFreeIndia",,0,0
liqour,Gunjan@monicas_7777·8h,NA,0,0,0,0,"Liquor prices are raised by 70% on MRP

Ravi shastri be like52588",4:22 am · 5 May 2020,1,88,5,25,,,0,0
liqour,Raghav Masoom@comedibanda·5h,NA,0,0,0,0,When neighbours  see you standing in the line to buy  liquor.917,7:22 am · 5 May 2020,1,17,0,9,,,0,0
liqour,SatyaMohan@SatyaMo17472489·5h,NA,0,0,0,0,"What's happening at liquor shops
All the hard work till now is going to be a waste. PM sir, please close the liquor shops",7:26 am · 5 May 2020,1,0,0,0,,,0,0
liqour,Emmanuel@Emmanue78639337·6h,NA,0,0,0,0,"#மே7அழிவின்ஆரம்பம் All parites and fans are use this tag . Liqour shops are only run by admk and dmk party members ,so they want to stop that.GIF94",6:37 am · 5 May 2020,1,4,0,9,#மே7அழிவின்ஆரம்பம்,,0,0
liqour,dekh tamasha democracy ka@sabscamhai420·12h,NA,0,0,0,0,India economy after opening of liquor shops #ठेके37,1:02 am · 5 May 2020,1,7,0,3,#ठेके,,0,0
liqour,D.Muthukrishnan@dmuthuk·11h,NA,0,0,0,0,"Delhi has increased liquor prices by a whopping 70%

I feel Delhi may lose business to Haryana and UP.7942665",1:22 am · 5 May 2020,0,665,79,42,,,0,0
liqour,Mission Ambedkar@MissionAmbedkar·8h,NA,0,0,0,0,"Liquor ruins the society but
In pandemic, drinking is like tonic.
Is it right Narendra Modi?1243",4:37 am · 5 May 2020,1,43,0,12,,,0,0
liqour,Republic@republic·6h,NA,0,0,0,0,"Lockdown: Chhattisgarh launches portal for home delivery of liquorLockdown: Chhattisgarh launches portal for home delivery of liquor - Republic WorldThe Chhattisgarh government has launched a web portal for home delivery of liquor in green zones of the state to avoid crowding at wine shops during the coronavirus-enforced lockdown, an official...republicworld.com1618111",7:06 am · 5 May 2020,1,111,16,18,,,0,2
liqour,Jacob Isaac@JacobIs69841773·11h,NA,0,0,0,0,"Karnataka Excise Department estimates value of sale of liquor on first day of relaxations is around Rs 45 crore. 

Long queues were reported in liquor stores in the state starting from dawn.321",1:31 am · 5 May 2020,1,21,0,3,,,0,0
liqour,Raghav Masoom@comedibanda·5h,NA,0,0,0,0,"Delhites paying SPECIAL CORONA FEE [ 70 % extra tax ]  for  liquor .

#LiquorShops156",7:33 am · 5 May 2020,1,6,1,5,#LiquorShops,,0,0
liqour,Harshit Chauhan@guy_beerd·11h,NA,0,0,0,0,"Which energy made Modi ji open liqour shops?
 #शराबी_सरकार1721",1:10 am · 5 May 2020,1,21,1,7,#शराबी_सरकार,,0,0
