Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
once upon a time,Azar-SA@Azar70727722·3h,NA,0,0,0,0,Replying to @emteethehustla_Once upon a time A reece said :1:30535 views643,"4:47 AM · May 4, 2020",1,43,0,6,,@emteethehustla_,1089933,0
once upon a time, Lana On This Day @LanaOnThisDay·18h,NA,0,0,0,0,"• May 3, 2015 •
5 years ago today, @LanaParrilla appeared in Once Upon a Time Season 4 Episode 20 “Mother”2:192.9K views230146","12:56 PM · May 3, 2020",1,146,2,30,,@LanaParrilla,723073,0
once upon a time,HCQ@HCQTM·May 3,NA,0,0,0,0,#अमिश_देवगन_झूठा_है Once upon a time ILIAS Lashes #amishdevgan1:502.9K views1788248,"2:54 AM · May 3, 2020",1,248,17,88,"#अमिश_देवगन_झूठा_है,#amishdevgan",,0,0
once upon a time,Hearticles@rihpael·May 2,NA,0,0,0,0,Once upon a time when she was a singer103932K,"12:34 AM · May 2, 2020",1,2000,10,393,,,0,0
once upon a time,Skip Bolden@skipbolden·19h,NA,0,0,0,0,"Once Upon a Time in the West (1968)
Directed by Sergio LeoneGIF983329","12:45 PM · May 3, 2020",1,329,9,83,,,0,0
once upon a time,—@ultimatelyzn·23h,NA,0,0,0,0,"LABYRINTH'S CLARITY 

Once upon a time, Labyrinth, whose world is messy, meets Clarity – who’ll completely change his life.12073","8:52 AM · May 3, 2020",1,73,1,20,,,0,0
once upon a time,JimPowers@JimPowersXXX·May 3,NA,0,0,0,0,Digging around in the attic I cane across this.   Once upon a time I could work @pornodanThe following media includes potentially sensitive content. Change settingsView1232,"2:48 AM · May 3, 2020",0,32,12,0,,@pornodan,226955,0
once upon a time,Muktar@Mukyfresh·May 2,NA,0,0,0,0,"Once upon a time in ""AC Milan""2826","7:54 PM · May 2, 2020",1,26,2,8,,,0,0
once upon a time,𝒮𝒶𝓃𝑔𝓊𝒾𝓃𝑒 @ndhzhrn_·May 2,NA,0,0,0,0,"Once upon a time there was a twat. Oh it was you @zack91111. The end.Quote Tweetfahmiifaizal@fahmiifaizal_ · May 2JANGAN SALAHKAN PEREMPUAN. LELAKI KALAU DAH JENIS BERTUHANKAN NAFSU, PEREMPUAN PAKAI SEPULUH LAPIS BAJU PUN DIA BOLEH HORNY. BODOH!310","4:08 PM · May 2, 2020",0,10,0,3,,@zack91111,0,0
once upon a time,pekae_tws@pekae_tws·17h,NA,0,0,0,0,once upon a time in maldives52211.4K,"1:56 PM · May 3, 2020",1,1400,5,221,,,0,0
once upon a time,Qwerty@Qwerty77420486·May 2,NA,0,0,0,0,"Replying to @SenatorDurbin and @SenateDemsYou are nothing but a racist and history will remember you only for that. Once upon a time there lived a person in Germany with the same feeling for Jews, like you have for Indians. #S3861512","4:58 PM · May 2, 2020",1,12,0,15,#S386,"@SenatorDurbin,@SenateDems",1699119,0
once upon a time,JTG Productions@JTGProductionYT·May 2,NA,0,0,0,0,"Once Upon A Time.

June 1st.646","3:53 PM · May 2, 2020",1,46,0,6,,,0,0
once upon a time,Niyodusenga Vianney@niyodusengavian·May 2,NA,0,0,0,0,Once Upon A time In Airtel With Frendo.3,"6:07 AM · May 2, 2020",1,3,0,0,,,0,0
once upon a time,Mari Grande@MariGrande13·May 1,NA,0,0,0,0,"This scene is very special to me because once upon a time someone did this to me like Jung Pal did to Duk Seon and yes he was a scaredy cat too just like Jung Pal. He is now married with 2 kids while here I am waiting for  Choi Taek to come into my life.

#Reply1988FaveScene4766","9:24 AM · May 1, 2020",1,66,4,7,#Reply1988FaveScene,,0,0
once upon a time,josh @ghsttwn·Apr 30,NA,0,0,0,0,when you’re watching Once Upon a Time in Hollywood and you get to the part where leonardo dicaprio points at the tv screen like in the meme320119,"5:52 PM · Apr 30, 2020",0,119,3,20,,,0,0
once upon a time,Douglas Wickard@DouglasWickard·Apr 30,NA,0,0,0,0,“Once upon a time... in a land by the Sea...”22,"4:21 PM · Apr 30, 2020",1,2,0,2,,,0,0
once upon a time,Neha𖧵⁷(I didn't unfollow please dm)@seokjindesi·Apr 30,NA,0,0,0,0,Once upon a time a wise man said:17,"4:43 PM · Apr 30, 2020",1,7,0,1,,,0,0
once upon a time,Danannie@jiemo521·Apr 30,NA,0,0,0,0,"Once upon a time...
#fe3h #Casphardt161137","12:59 PM · Apr 30, 2020",1,137,1,61,"#fe3h,#Casphardt",,0,0
once upon a time,A Libra @Anathimtanga·Apr 29,NA,0,0,0,0,Once upon a time ngo 2017 . If I could just have this body back 117,"9:20 PM · Apr 29, 2020",0,17,0,1,,,0,0
once upon a time,ً@CINEMAGEMS·Apr 29,NA,0,0,0,0,Once Upon a Time in Hollywood (2019)44472.4K,"2:09 PM · Apr 29, 2020",1,2400,4,447,,,0,0
once upon a time,mingi pics@archivemingi·Apr 26,NA,0,0,0,0,"once upon a time there was a song mingi. the end.

cr. flipped52871K","5:34 PM · Apr 26, 2020",1,1000,5,287,,,0,0
once upon a time,thread.for.stars@MarianaJxst·Apr 26,NA,0,0,0,0,7. Ginnifer Goodwin et Josh Dallas (Once Upon a Time )12,"4:30 PM · Apr 26, 2020",1,2,1,0,,,0,0
once upon a time,Kevin M. Kruse@KevinMKruse·Apr 26,NA,0,0,0,0,"Once upon a time, a very different kind of U.S. Senator from Arkansas created a program of international scholarships that helped send Americans abroad and brought foreign students to study here.Quote TweetAaron Rupar@atrupar · Apr 26""If Chinese students want to come here and study Shakespeare & the Federalist Papers, that's what they need to learn from America. They don't need to learn quantum computing"" -- Sen. Tom Cotton proposes restricting Chinese students from studying science & tech at US universities3.5M views0:00 / 0:463261.7K9.6K","4:22 PM · Apr 26, 2020",1,9600,326,1700,,,0,0
once upon a time,lovefootballng@lovefootballng·Apr 26,NA,0,0,0,0,"Timely reminder
Once upon a time
Michael Essien was the most expensive African footballer on the plant
Bison10102944","2:34 PM · Apr 26, 2020",0,944,10,102,,,0,0
