Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
INDvAUS,1:58 pm · 8 Mar 2020,Troll NTR Haters™@TrollNTRHaterz,"Pakka local song in MCG
@tarak9999 
#KomaramBheemNTR #INDvAUS",1,169,3,94,"#KomaramBheemNTR,#INDvAUS",@tarak9999,0,61,35.35533905932737
INDvAUS,2:33 pm · 8 Mar 2020,ANSHUMAN@AvengerReturns,"Tweeted for U19 boys, Indian lost the final. 
Tweeted for women's team, and about to lose the final. #INDvAUS",0,119,25,56,#INDvAUS,,0,109,18.89822365046136
INDvAUS,6:32 am · 8 Mar 2020,ICC@ICC,"Be fierce. Be brave. There will be fireworks 
#T20WorldCup | #FillTheMCG | #INDvAUS",1,4.5K,49,725,"#T20WorldCup,#FillTheMCG,#INDvAUS",,0,83,24.253562503633297
INDvAUS,2:39 pm · 8 Mar 2020,ANSHUMAN@AvengerReturns,just a picture of Two Indian captains who didn't perform when it mattered. #Wc2019 #INDvAUS,0,44,5,18,"#Wc2019,#INDvAUS",,0,91,25.0
INDvAUS,2:08 pm · 8 Mar 2020,Political Di@PoliticalDi,"Happy women's day to  Delhi police @delhipolice
#INDvAUS #WomensDay2020 #InternationalWomensDay #महिलादिवस",0,94,11,71,"#INDvAUS,#WomensDay2020,#InternationalWomensDay,#महिलादिवस",@delhipolice,0,106,25.81988897471611
INDvAUS,3:04 pm · 8 Mar 2020,IRONY MAN@karanku100,"#INDvAUS  

Indian batsmen today",1,61,9,8,#INDvAUS,,0,32,50.0
INDvAUS,2:07 pm · 8 Mar 2020,Sagar@sagarcasm,"Guys, we got this. #IndvAus ",1,779,34,90,#IndvAus,,0,28,44.721359549995796
INDvAUS,3:01 pm · 8 Mar 2020,bk.@NotBobbey,"Whenever India starts to choke in a major tournament, this man's innings comes into my mind. When the pressure was highest, lights were brightest, Gambhir had ice in his veins, fire in his mind, India in his heart. Greatest WC Innings ever. #INDvAUS @GautamGambhir",1,26,1,19,#INDvAUS,@GautamGambhir,0,264,12.03858530857692
INDvAUS,1:28 pm · 8 Mar 2020,Vinay Lalwani@theVinayLalwani,Reason why India are losing today  #Kohli #INDvAUS,0,243,34,35,"#Kohli,#INDvAUS",,0,50,35.35533905932737
INDvAUS,2:40 pm · 8 Mar 2020,R A T N I $ H@LoyalSachinFan,"2014 WT20 : Lost in Final
2015 WC : Lost in SF
2016 WT20: Lost in SF
2016 U19 :Lost in Final
2017 WWC: Lost in Final
2017 CT: Lost in Final
2018 WWT20: Lost in SF
2019 WC: Lost in SF
2020 U19: Lost in Final
2020 WWT20 : Lost in Finals

Guess what's next 
#INDvAUS #T20WorldCup",0,153,25,73,"#INDvAUS,#T20WorldCup",,0,276,5.9549133417541364
INDvAUS,1:15 pm · 8 Mar 2020,Er- Ramkishor kataria@Ramkishorkatar2,"#INDvAUS

Every Indian right now :",1,77,1,9,#INDvAUS,,0,34,44.721359549995796
INDvAUS,12:31 pm · 8 Mar 2020,Tweetera@DoctorrSays,"Dear show off Twitter Ladies, That's how women empowerment looks like.. 
#INDvAUS #WomensDay",0,136,1,15,"#INDvAUS,#WomensDay",,0,92,26.72612419124244
INDvAUS,1:32 pm · 8 Mar 2020,Gaurav Kumar Jha@Gauravpace,Alyssa Healy today's knock  reminded me of Ricky Ponting 2003 innings in world Cup final  #INDvAUS,1,90,3,7,#INDvAUS,,0,98,24.253562503633297
INDvAUS,1:13 pm · 8 Mar 2020,Tweetera@DoctorrSays,"*Team India women's Fielding accuracy*
#INDvAUS #ICCWomensT20WorldCup2020 #T20WorldCupFinal",0,143,5,23,"#INDvAUS,#ICCWomensT20WorldCup2020,#T20WorldCupFinal",,0,91,33.33333333333333
INDvAUS,12:53 pm · 8 Mar 2020,நட்ராஜ்_RCB@NaTaRaJ__,"#INDvAUS 

Once Dhoni said in interview
""Focus on process rather than result""",0,100,3,14,#INDvAUS,,0,77,28.86751345948129
INDvAUS,1:34 pm · 8 Mar 2020,Rahul@anpadhgawar,"Chronology Samajhiye:

1. India vs Australia World Cup Final
2. Australia Batting First.
3. India bowling poorly and dropping catches.
4. Australia off to a flier.
5. No it's not 2003 WC Final.

#INDvAUS",0,23,1,5,#INDvAUS,,0,203,14.9071198499986
INDvAUS,1:32 pm · 8 Mar 2020,आकाश गुप्ता (छ. ग.09)@aakashgupta146,"#INDvAUS जीतेंगे तो हम ही।
India is tha best woman cricket team...
#वन्देमातरम",1,30,1,16,"#INDvAUS,#वन्देमातरम",,0,78,22.360679774997898
INDvAUS,8:30 am · 8 Mar 2020,ICC@ICC," 4580 international runs
 61 international wickets
 First  cricketer to playT20Is

Happy Birthday, Harmanpreet Kaur 
 
Can she lead India to their maiden women's @T20WorldCup title today?

#T20WorldCup | #FillTheMCG | #INDvAUS",0,13.3K,181,993,"#T20WorldCup,#FillTheMCG,#INDvAUS",@T20WorldCup,0,226,16.90308509457033
INDvAUS,8:38 am · 8 Mar 2020,Mithali Raj@M_Raj03,"When in Melbourne, arrive in style to see the mighty battle between our girls and the host team #INDvAUS #tourismaustralia
#visitaustralia #visitvictoria #ICC #GirlsCanDoAnything #WomensDay2020",1,9K,110,547,"#INDvAUS,#tourismaustralia,#visitaustralia,#visitvictoria,#ICC,#GirlsCanDoAnything,#WomensDay2020",,0,193,18.569533817705185
INDvAUS,3:03 pm · 8 Mar 2020,Indian Express Entertainment@ieEntertainment,"#PHOTOS | Today's edition of social media photos features @katyperry @imrealasim and others. 

#KatyPerry #WorldCupFinal #ICC #T20WorldCup #INDvAUS #AsimRiaz #JacSimFever",0,37,5,30,"#PHOTOS,#KatyPerry,#WorldCupFinal,#ICC,#T20WorldCup,#INDvAUS,#AsimRiaz,#JacSimFever","@katyperry,@imrealasim",2,170,20.412414523193153
INDvAUS,1:31 pm · 8 Mar 2020,Darkha Butt@darkha_butt_,Replying to @sagarcasm,1,222,4,27,#INDvAUS,@sagarcasm,0,22,0.0
INDvAUS,2:54 pm · 8 Mar 2020,Er- Ramkishor kataria@Ramkishorkatar2,"#INDvAUS

Every Indian right now :",1,8,,4,#INDvAUS,,0,34,44.721359549995796
INDvAUS,2:00 pm · 8 Mar 2020,Ajay Tarak™@ProudToBeNTRFan,"Pakka local song in MCG
#INDvAUS",1,34,,14,#INDvAUS,,0,32,40.824829046386306
INDvAUS,1:18 pm · 8 Mar 2020,Goutham@simharaoutd,"Beth Mooney and Alyssa Healey today 
#INDvAUS",1,118,3,15,#INDvAUS,,0,45,37.79644730092272
INDvAUS,10:32 am · 8 Mar 2020,ICC WOMEN'S T20WC@ICC2020WORLDCUP,"Look who has arrived in Melbourne 
@M_Raj03 
  
#INDvsAUS #INDvAUS
#T20WorldCup
#HappyWomensDay",0,344,7,48,"#INDvsAUS,#INDvAUS,#T20WorldCup,#HappyWomensDay",@M_Raj03,0,95,30.15113445777636
INDvAUS,3:09 pm · 8 Mar 2020,Navin khan@iamnavinkhan,"Never give up 

#INDvAUS #WomensDay",0,1,,1,"#INDvAUS,#WomensDay",,0,35,44.721359549995796
INDvAUS,2:45 pm · 8 Mar 2020,Mahi@i_stanKohli18,"Tweeted for U19 boys, Indian lost the final. 
Tweeted for women's team, and about to lose the final. #INDvAUS ",1,22,,23,#INDvAUS,,0,110,18.89822365046136
INDvAUS,1:42 pm · 8 Mar 2020,Mani @ManiTweets14,"5 Years ago In a World Cup Final at MCG ( Full House ) M Starc Performed Brilliantly !

And Today his Wife Alyssa Healy has Performed Brilliantly In the Final & M Starc Is there at MCG ( Full House )

What a Moment for this Couple !

#T20WorldCup #INDvAUS",0,34,2,5,"#T20WorldCup,#INDvAUS",,0,255,12.309149097933272
INDvAUS,3:06 pm · 8 Mar 2020,Er- Ramkishor kataria@Ramkishorkatar2,"#INDvAUS

Reason behind this situation. ",0,5,,3,#INDvAUS,,0,40,44.721359549995796
INDvAUS,2:32 pm · 8 Mar 2020,Abhishek Singh@ABINV,"Might sound rude but looking at today's performance I'm pretty sure wouldn't have won the SF.
They don't have the power to hit beyond 30 yards and then you have Alyssa Healy who hit like any men hard hitter.
And plse don't come and say they reached the Finals.
 #INDvAUS",1,6,1,3,#INDvAUS,,0,270,10.846522890932809
INDvAUS,2:42 pm · 8 Mar 2020,ITS V!SHAL !! @Rohitfied,"When Kohli Tweets Well. 
Opponents Sleeps Well. 

#INDvAUS #INDvsAUS",0,16,1,5,"#INDvAUS,#INDvsAUS",,0,68,30.15113445777636
INDvAUS,7:17 am · 8 Mar 2020,Rajveer Singh@Rajveer64835279,"#INDvAUS
Best of Luck Team Blue..!!

1.3bn+ Indians are behind you 

Bring the  
#ShehnaazGiIl
#T20WorldCup #indvaus",0,56,1,13,"#INDvAUS,#ShehnaazGiIl,#T20WorldCup,#indvaus",,0,116,45.88314677411235
INDvAUS,12:36 pm · 8 Mar 2020,अंकित जैन@indiantweeter,RT if 2003 ka world cup final yaad aa gaya #INDvAUS,0,259,27,100,#INDvAUS,,0,51,30.15113445777636
