Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
Pandemic,"10:12 AM · May 4, 2020",SkyNews@SkyNews·1h,"Love Island cancelled due to coronavirus pandemicLove Island cancelled due to coronavirus pandemicThis year's series of Love Island has been cancelled due to the coronavirus pandemic, bosses have confirmed.news.sky.com641114954",1,954,641,114,,,2,227
Pandemic,"10:28 AM · May 4, 2020",The Washington Post@washingtonpost·51m,"J. Crew files for bankruptcy, the first national retail casualty of the coronavirus pandemicJ. Crew files for bankruptcy, the first national retail casualty of the coronavirus pandemicA series of missteps, in both fashion and finance, left the onetime mall darling with stalling sales and huge debt.washingtonpost.com3094170",1,170,30,94,,,2,324
Pandemic,"10:23 AM · May 4, 2020",ITV Press Centre@itvpresscentre·56m,Series seven of Love Island will move to 2021 due to the Covid-19 pandemic. Statement - https://bit.ly/2SxNMR8937314919,1,919,937,314,,,1,119
Pandemic,"11:17 AM · May 4, 2020",Rifat Jawaid@RifatJawaid·3m,Bigots in my fraternity have also become experts on ‘social distancing’ and ‘pandemic’ even though the real talent of these lapdogs lies in receiving phone calls in the morning from masters to spread Islamophobia and demonize Muslim community in the garb of journalism.625,0,25,,6,,,0,272
Pandemic,"11:04 AM · May 4, 2020",HuffPost@HuffPost·15m,"With domestic violence rising, shelters struggle to protect victims from both their abusers and the coronavirus.Empty Hotel Rooms Provide Safe Haven For Domestic Violence Survivors During The PandemicWith domestic violence rising, DV shelters struggle to protect victims from both their abusers and the coronavirus.huffpost.com3836",1,36,3,8,,,2,331
Pandemic,"11:15 AM · May 4, 2020",Mark Jacob@MarkJacob16·4m,"It’s a good thing we’re not in any kind of national emergency, like a pandemic, and the president has lots of spare time to spew silly bullshit.57",1,7,,5,,,0,146
Pandemic,"11:20 AM · May 4, 2020",IISS News@IISS_org·25s,"Given the current size of even the larger European military establishments, many are likely to face scale and capacity challenges in sustaining support efforts in the battle against the coronavirus pandemic, @LapoAmanda & @ericapepe7 argue | http://go.iiss.org/3aVWhgh",1,,,,,"@LapoAmanda,@ericapepe7",1,268
Pandemic,"11:18 AM · May 4, 2020",CNN International@cnni·2m,"J.Crew Group, which operates both J.Crew and Madewell, has become the first national US retailer to file for bankruptcy protection since the coronavirus pandemic forced a wave of store closures.J.Crew has filed for bankruptcyJ.Crew Group, which operates both the J.Crew and Madewell brands, became the first national retailer to file for bankruptcy protection since the nation started shutting stores with stay-at-home...cnn.com2724",1,24,2,7,,,2,432
Pandemic,"11:20 AM · May 4, 2020",Nazuk Surat e Haal@NSHofficial1·7s,"Corona Tiger Force Meeting in DG Khan, no masks and no social distancing... was this force made to stop or help the pandemic?",1,,,,,,0,125
Pandemic,"11:20 AM · May 4, 2020",Scott Myers@GoIntoTheStory·18s,"A Writer’s Response to the Pandemic: Find that one story you’ve *always* wanted to write… and write that. http://ow.ly/dXQE50zvrtB #scriptchat #amwritingA Writer’s Response to the PandemicOne thing the current pandemic compels writers to do is to get us to stop and really think about who we are as storytellers, why we do what…gointothestory.blcklst.com",1,,,,"#scriptchat,#amwriting",,3,354
Pandemic,"11:15 AM · May 4, 2020",Derek Dulley@DulleyTopBooks·4m,"LORD JESUS, please give us revelation that #prayer is the solution to the Coronavirus pandemic.

Perhaps the day will come that we realize this virus is too strong for man.

Please join me in prayer for our loved ones and followers.

#God knows them by name and ALL their needs.15",1,5,,1,"#prayer,#God",,0,280
Pandemic,"9:31 AM · May 4, 2020",Ram Mohan Naidu K #StayHomeSaveLives@RamMNK·1h,#COVID19 pandemic depleted savings of migrant labourers stuck outside home without work for 6 weeks. Its inhuman to make them pay for being transported to their states by Railways. I urge concerned state govts & Centre to pay for them through CM Relief Fund or the #PMCARES fund.994294,0,294,9,94,"#COVID19,#PMCARES",,0,285
Pandemic,"9:09 AM · May 4, 2020",Free Syria Media Hub@Free_Media_Hub·2h,Even in the times of your own pandemic do not forget them #Syria3949,1,49,,39,#Syria,,0,68
Pandemic,"11:12 AM · May 4, 2020",Pushkar Rawat@anonymo46382828·7m,"Respected PM sir,
Please change our uttarakhand CM. He is doing nothing for uttarakhand people like past records of this gentle man, even in ongoing pandemic time.
@narendramodi @PMOIndia2",0,,,2,,"@narendramodi,@PMOIndia",0,188
Pandemic,"11:12 AM · May 4, 2020",Genexyz LLC@Genexyz1·8m,Katy Perry unsure whether she'll have a baby shower during pandemic http://twib.in/l/889p7nR59Mpq via @Genexyz1 #R&b,0,,,,#R,@Genexyz1,1,116
Pandemic,"11:11 AM · May 4, 2020",Adrian Sweeney@adriansweeneyxo·9m,"Kevin Lygo the Director of ITV announced this morning on ITV2 that @LoveIsland series 7 will be moved to 2021 due to the Covid-19 pandemic. 
#LoveIsland",1,,,,#LoveIsland,@LoveIsland,0,152
Pandemic,"11:05 AM · May 4, 2020",EUHomeAffairs@EUHomeAffairs·15m," Money laundering
 Criminal networks
 E-evidence
 Online Sexual Abuse
Commissioner @YlvaJohansson discusses these and other #pandemic security issues in @ft interview.
#SecurityUnion
 Learn more:Quote TweetFinancial Times@FinancialTimes · May 3Online criminals thrive on pandemic and weak policing, EU commissioner warns https://on.ft.com/3c28rVe",0,,,,"#pandemic,#SecurityUnion","@YlvaJohansson,@ft",0,346
Pandemic,"11:00 AM · May 4, 2020",LiveProcess@LiveProcess·20m,"When the state-provided solution wasn’t meeting their #pandemic #coordination needs, @TRMCTift turned to the LiveProcess platform for incident command, staff and patient tracking, reallocating resources, and more.Georgia Medical Center Deploys New Software as Coronavirus HitsTift Regional Medical Center in Georgia deployed the LiveProcess Emergency Manager software two weeks before the coronavirus hit the region and began managing the virus via the system immediately.govtech.com",1,,,,"#pandemic,#coordination",@TRMCTift,2,483
Pandemic,"11:00 AM · May 4, 2020",Act4WomenZW@Act4Zw·20m,"Without water, the pandemic will haul us over hot coals. 
#LockdownZimbabwe
#WaterforMbareMarket
@ZimTreasury @MoHCCZimQuote TweetUNICEF ZIMBABWE@UNICEFZIMBABWE · 3hAccess to water for hygiene practices and information on #COVID19 is the key to address the pandemic. UNICEF Zimbabwe, working with OXFAM reached 18500 people with hand washing campaigns, through established hand washing stations in Harare. #stayhome #stayhealthy",0,,,,"#LockdownZimbabwe,#WaterforMbareMarket","@ZimTreasury,@MoHCCZim",0,428
Pandemic,"10:20 AM · May 4, 2020",Avinash Bharti@ohhhhhAvinash·1h,"Hi,  
In this tough time when other financial lending institution are waving off interest you @TheMuthootGroup have not taken cognigence of this pandemic @RBI   and continue to ask for interest,  I can't pay interest for the gold loan neither this month or next, I don't have it.",0,,,,,"@TheMuthootGroup,@RBI",0,279
Pandemic,"10:20 AM · May 4, 2020",Zimal@Zimalxe·1h,"In the age of a viral pandemic, specifically Covid-19, Muslims have replaced Jews as the world's most scapegoated religious minority. 

#IslamophobiaInIndia8",1,,,8,#IslamophobiaInIndia,,0,157
Pandemic,"10:10 AM · May 4, 2020",Zimal@Zimalxe·1h,"The Most Dangerous Place for a Muslim During the COVID-19 Pandemic is India. 

#IslamophobiaInIndia73",1,3,,7,#IslamophobiaInIndia,,0,101
Pandemic,"9:26 AM · May 4, 2020",Blue Dog@EppleMedia·1h,"Blue Dog #news from @nytimes 
'The coronavirus pandemic has prevented criminal gangs in Southeast Asian countries from moving large quantities of ivory and pangolin scales into China.'
#ReportQuote TweetThe New York Times@nytimes · 2hThe coronavirus pandemic has prevented criminal gangs in Southeast Asian countries from moving large quantities of ivory and pangolin scales into China. But any limits on the illegal wildlife trade are likely to be temporary. https://nyti.ms/3c34yzl11",0,1,1,,"#news,#Report",@nytimes,0,485
Pandemic,"9:18 AM · May 4, 2020",manjesh dohare@DohareManjesh·2h,Why princess cruise not doing to handle COVID19 pandemic inside cruise. Why majestic princess cruise allowing boys&girls to enter another rooms.Atleast dont allow them to spend night at other rooms.Take action. Are captain & HR useless over there? @PrincessCruises @CarnivalCruise,0,,,,,"@PrincessCruises,@CarnivalCruise",0,280
Pandemic,"10:38 AM · May 4, 2020",Shivang Mathur@ShivangMathur18·42m,"Stipend for Rajasthan interns Should definitely be raised . They deserve much more than they get now.  Interns are also among the bravehearts fighting against the pandemic.

#Rajasthan_इन्टर्न_Stipend_बढाओ
#One_Nation_One_Stipend
@ashokgehlot51 @SachinPilot @RaghusharmaINC11",0,1,,1,"#Rajasthan_इन्टर्न_Stipend_बढाओ,#One_Nation_One_Stipend","@ashokgehlot51,@SachinPilot,@RaghusharmaINC",0,275
Pandemic,"10:37 AM · May 4, 2020",Stario@egyptianboy24·42m,"When it comes to deadly disease, vaccines are our best chance of protecting millions. @SpainMFA on May 4 will you help ensure no country has to face a pandemic alone by supporting @gavi to strengthen vaccine delivery systems across the world? Let’s #DefeatDiseaseTogether",0,,,,#DefeatDiseaseTogether,"@SpainMFA,@gavi",0,271
