Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
artificial intelligence,4:05 pm · 8 Mar 2020,Margrethe Vestager@vestager,"We want use technology to shape the world! With too few women in tech, there is a risk that the data feeding #ArtificialIntelligence is gender-biased. And that we don't see the world as it is. Together let's change this #IWD2020 #womenintech #DigitalEU #InternationalWomensDay",1,85,3,37,"#ArtificialIntelligence,#IWD2020,#womenintech,#DigitalEU,#InternationalWomensDay",,0,276,0.0
artificial intelligence,12:48 pm · 6 Mar 2020,Kwara Build | Africa's Next Builders @kwarabuild,"There will be quality presentations  on virtualization and Cloud computing, Artificial Intelligence, future of work, and startup pitches. There will also be networking opportunities, idea formulation, dialogues, and a Bootcamp.

2/3",0,34,1,22,,,0,232,21.320071635561042
artificial intelligence,10:50 pm · 6 Mar 2020,Women's Brain Proj.@womensbrainpro,"Our leader for sex and gender differences in #AI @Davide__Cirillo presents at the #LSretreat2020 “Sex and Gender Bias in Artificial Intelligence for Health"" we need be aware when developing new algorithms: data explainability debiasing word embeddings #ethics #womensbrainpro",1,37,,17,"#AI,#LSretreat2020,#ethics,#womensbrainpro",@Davide__Cirillo,0,275,20.41241452319315
artificial intelligence,4:12 pm · 8 Mar 2020,Online Courses Tracker@comidoc,"Digital Voice Cloning using Artificial Intelligence (AI)  

Length: 37 total mins
Rating: 2.67
Students: 9636
Last update: January 2020 

=> http://bit.ly/38uqTDD
#udemy #udemycoupon",1,,,,"#udemy,#udemycoupon",,1,182,27.735009811261456
artificial intelligence,2:27 am · 8 Mar 2020,Dionisios Vrochides@vrochides,Dr Watson’s presentation on artificial intelligence utilization for predicting response to neoadjuvant chemotherapy stirred a lot of interesting discussion,1,8,,3,,,0,155,31.622776601683793
artificial intelligence,10:41 am · 6 Mar 2020,MyGovIndia@mygovindia,"Geetha Manjunath is the co-founder of an artificial intelligence-based healthcare startup that helps with early detection of breast cancer in a way that is safe, non-touch, radiation-free, and low-cost.
#SheInspiresUs",1,347,11,89,#SheInspiresUs,,0,217,22.086305214969308
artificial intelligence,9:53 am · 8 Mar 2020,Linh@Linh23052846,I challenged Artificial Intelligence and lost;( Challenge players from around the world! #BrainWars http://brainwarsapp.com,1,1,,,#BrainWars,,1,123,35.35533905932737
artificial intelligence,4:51 am · 8 Mar 2020,Andrew Yin @andrewyingang,"When an artificial intelligence hacks its reward function, that is seen as an existential threat. And yet this is allowed?",1,65,1,16,,,0,122,28.86751345948129
artificial intelligence,2:45 pm · 7 Mar 2020,Economic Times@EconomicTimes,"#ETGBS | The panellists also debated the impact of technological changes and artificial intelligence on jobs, but the general view was that these technologies were vital for India.",1,8,,1,#ETGBS,,2,180,24.618298195866544
artificial intelligence,3:08 am · 8 Mar 2020,Lord Commander@AhmadGanga,"Everyone wants to remain relevant in the labour market, but none is ready to discuss the future of work and the ubiquitous emergence of Artificial Intelligence that's doing the work humankind has been doing since industrial revolution – 12,000 years ago.",0,30,,7,,,0,254,17.96053020267749
