Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
coronavirus,12:44 pm · 8 Mar 2020,DJ Akademiks@Akademiks,A lil corona virus ain’t finna stop Young Ma from touring,1,534,27,76,,,0,57,0.0
coronavirus,1:31 pm · 8 Mar 2020,John Scotus@John_Scotus,Sumo without an audience. #coronavirus,1,,,1,#coronavirus,,0,38,44.721359549995796
coronavirus,1:31 pm · 8 Mar 2020,ajay sihag@ajaysihag17,#RangBarseWithSid happy holi to you all sidhearts and sid haters . And be safe from coronavirus and use face masks.,0,,,3,#RangBarseWithSid,,0,115,20.0
coronavirus,1:19 pm · 8 Mar 2020,Guardian news@guardiannews,Washington nursing home at center of US coronavirus outbreak reports 13 deaths,1,31,3,28,,,2,78,28.86751345948129
coronavirus,12:56 pm · 8 Mar 2020,Anthony Scaramucci@Scaramucci,"Will you still vote for this incompetent after reading this?

What went wrong with the coronavirus tests in the U.S. - The Washington Post",1,169,63,67,,,2,138,17.677669529663685
coronavirus,1:15 pm · 8 Mar 2020,bhaavna arora@ikpsgill1,"Corona Virus - No kissing, no touching! 
HIV - No licking, no Sex

Yeh Virus hain ya sex ke dushman?",0,343,41,52,,,0,100,0.0
coronavirus,1:19 pm · 8 Mar 2020,James Melville@JamesMelville,"Now would be a good time for Boris Johnson to give that extra £350 million a week that he promised for the NHS.
#coronavirus",1,119,4,67,#coronavirus,,2,124,18.257418583505537
coronavirus,1:31 pm · 8 Mar 2020,Matthew Keys@MatthewKeysLive,"No, The Simpsons did not predict the #coronavirus http://bit.ly/38zO0MO #factcheck",1,,,,"#coronavirus,#factcheck",,3,82,25.81988897471611
coronavirus,1:13 pm · 8 Mar 2020,Mike Carlton@MikeCarlton01,"Here’s a confident prediction.  The Morrison “government” economic package to battle the corona virus will be:

1)  too little. 
2) too late 
3) directed to all the wrong areas.
4) and therefore almost entirely ineffectual.",0,340,49,98,,,0,223,0.0
coronavirus,1:30 pm · 8 Mar 2020,Zee News@ZeeNews,"Pope Francis to live stream prayer service amid coronavirus outbreak

#CoronavirusOutbreak",1,5,,1,#CoronavirusOutbreak,,2,90,30.15113445777636
coronavirus,1:19 pm · 8 Mar 2020,Open Culture@openculture,all in 1 coronavirus website - made by high school student,0,38,2,16,,,2,58,31.622776601683793
coronavirus,12:48 pm · 8 Mar 2020,The Associated Press@AP,Stocks markets in the Mideast suffer sharp drops in early trading over fears about the new coronavirus and falling demand for crude oil amid a failure by OPEC and allied nations to cut production.,1,80,3,61,,,2,196,15.811388300841896
coronavirus,12:53 pm · 8 Mar 2020,The Future is Female@tfergpdx,Everyone needs to read this. And shared with the trumpers you know. I will be sending this to my father. I don’t care how irritated he gets. My mother would not survive this virus. And I swear this is going to get ugly as fuck. #coronavirus,1,3,,1,#coronavirus,,2,240,11.547005383792513
coronavirus,1:32 pm · 8 Mar 2020,arnold rojas@Suicidalgothbf,Corona virus who??,1,,,,,,0,18,0.0
coronavirus,1:15 pm · 8 Mar 2020,ScodaEnterprises32@ScottyStyles29,This is in regards to Brad Shepard saying someone in WWE has coronavirus.  WWE on FOX stepped in.,1,10,1,4,,,0,97,19.611613513818405
coronavirus,1:00 pm · 8 Mar 2020,Raw Story@RawStory,White House overruled health officials who had urgent #coronavirus  travel warning for America’s seniors: report,1,33,3,31,#coronavirus,,2,112,25.0
coronavirus,12:57 pm · 8 Mar 2020,Tedros Adhanom Ghebreyesus@DrTedros,".@WHO launched 'Be Ready' campaign because everyone can prepare for #COVID19. Individuals, governments & businesses can help fight the new #coronavirus to save lives. Hospitals, airports & schools are just some of the places that can put preventive measures in place.",1,159,25,112,"#COVID19,#coronavirus",@WHO,0,267,14.586499149789455
coronavirus,1:29 pm · 8 Mar 2020,nimakomichael@ymail.com@nimakomichaely1,"57,143 patients out of 80,859 has been cured now in China.

The Chinese people has finally found the cure for Coronavirus and this drug has a power to block Coronavirus.",1,,,,,,0,169,30.860669992418384
coronavirus,1:32 pm · 8 Mar 2020,Serie A Bot@BotSerieA,"Now 233 Coronavirus deaths in Italy

The latest Italian Government figures on the Coronavirus outbreak show another leap forward, with 233 dead and 5,061 testing positive.
[football-italia] 
#SerieA",0,,,,#SerieA,,0,198,33.33333333333333
coronavirus,1:30 pm · 8 Mar 2020,The Sunday Times@thesundaytimes,"Ministers are preparing for a potential coronavirus death toll as high as 100,000 as they try to brace the country for months of upheaval without spreading panic.",1,,,2,,,2,162,16.666666666666664
coronavirus,1:15 pm · 8 Mar 2020,Philip Morris@phil500,Fed up with all the bad news about #coronavirus ? Let’s start a happy thread showing off all our furry friends. I will kick it off with Millie. Let’s get posting and retweeting some good news #sunday ,0,153,58,35,"#coronavirus,#sunday",,0,200,14.142135623730951
coronavirus,12:58 pm · 8 Mar 2020,Adètoye Hààstrup@ItsTosin,"Future girl friend oooh, where are you  solution to corona virus CNN don kill me o",0,27,1,20,,,0,82,0.0
coronavirus,12:41 pm · 8 Mar 2020,Rejoin and Reform. #RRFB@sonofr,"The Brexitvirus and the coronavirus, Britain’s perfect storm. Self-harm meets harmful. In command a lazy bullshitter whose jolly jape was to see if he could be prime minister. Having inflicted his useless carcass on us he has nothing to offer but bluster and bullshit. Save us!",0,22,,13,,,0,277,13.130643285972255
coronavirus,1:30 pm · 8 Mar 2020,Middle East Eye@MiddleEastEye,"Some of the events cancelled due to #coronavirus: 

- Qatar International Maritime Defence Exhibition 
- Qatar Grand Prix 
- Ultra Festival, Abu Dhabi 
- Holi Festival Dubai",1,,,1,#coronavirus,,2,173,19.245008972987527
coronavirus,12:57 pm · 8 Mar 2020,Coronavirus (COVID-19) Alerts@coronaviruscare,BREAKING: India reports 5 new cases of Coronavirus in Kerala. Total cases up to 39.,1,17,1,15,,,0,83,24.253562503633297
coronavirus,1:27 pm · 8 Mar 2020,Economic Times@EconomicTimes,"All the five have been isolated in Pathnamathitta general hospital and are under observation.

#Coronavirus",1,4,,1,#Coronavirus,,2,107,25.81988897471611
coronavirus,12:54 pm · 8 Mar 2020,Andreas Fulda@AMFChina,“A prominent Chinese activist detained for criticising President Xi Jinping’s handling of the coronavirus outbreak is being held on a state security charge that carries a maximum sentence of 15 years in jail” #FreeXuZhiyong #言論自由,1,47,3,49,"#FreeXuZhiyong,#言論自由",,2,229,15.07556722888818
coronavirus,12:58 pm · 8 Mar 2020,Adètoye Hààstrup@ItsTosin,"Future girl friend oooh, where are you  solution to corona virus CNN don kill me o",0,27,1,20,,,0,82,0.0
coronavirus,12:41 pm · 8 Mar 2020,Rejoin and Reform. #RRFB@sonofr,"The Brexitvirus and the coronavirus, Britain’s perfect storm. Self-harm meets harmful. In command a lazy bullshitter whose jolly jape was to see if he could be prime minister. Having inflicted his useless carcass on us he has nothing to offer but bluster and bullshit. Save us!",0,22,,13,,,0,277,13.130643285972255
coronavirus,1:03 pm · 8 Mar 2020,Calvin_Lalela ✪@calvin_lalela,"#PitoriRewindz while Coronavirus is a threat to other countries, welcome to South Africa ",0,9,,5,#PitoriRewindz,,0,89,25.81988897471611
coronavirus,1:32 pm · 8 Mar 2020,FOX Carolina News@foxcarolinanews,DHEC investigating two possible coronavirus cases; Kershaw Co. patient transferred to Columbia hospital,1,,,,,,2,103,27.735009811261456
coronavirus,1:25 pm · 8 Mar 2020,Haaretz.com@haaretzcom,"BREAKING 
■ Israel may quarantine some U.S. arrivals
■ Israeli with #coronavirus in severe condition
■ 19 coronavirus cases confirmed in Bethlehem, Israel orders closure of West Bank city
■ Air France cancels all flights to and from Tel Aviv",0,11,,17,#coronavirus,,2,241,30.499714066520934
coronavirus,1:32 pm · 8 Mar 2020,Lukesters@Lukesters,"What the absolute fuck? Buildings don’t just “collapse”....and when you add the fact that it was being used as a quarantine building for those with #coronavirus ...what’s going on here?

BBC News - Coronavirus: Six dead in China quarantine hotel collapse",1,,,,#coronavirus,,2,254,27.472112789737807
coronavirus,1:32 pm · 8 Mar 2020,3novices@3novices,#3Novices : Coronavirus | Contacts of infected man in Tamil Nadu traced Home quarantine for 27; Health Dept. to take samples of some of them for tests https://ift.tt/3aDYzzQ3Novices #news #OnlineMedia,1,,,,"#3Novices,#news,#OnlineMedia",,3,200,16.012815380508712
coronavirus,1:28 pm · 8 Mar 2020,People of India@manishahire,India's contribution in reducing #coronavirus,1,2,,1,#coronavirus,,0,45,40.824829046386306
coronavirus,1:08 pm · 8 Mar 2020,Tomthunkit™@TomthunkitsMind,"In this clip he
1. Denies WHO's coronavirus death rate based on “hunch""
2. Calls #coronavirus ""corona flu""
3. Suggests it's fine for people w/ Covid-19 to go to work
4. Compares coronavirus to ""the regular flu"" indicating he doesn't get the difference  24",1,4,1,7,#coronavirus,,0,255,36.38034375544994
coronavirus,12:44 pm · 8 Mar 2020,Grits n’ Gravy@PoppaBoneDaddy,"If y’all see me coughing, it’s not the corona virus, it’s that gas.",1,6,,5,,,0,67,0.0
coronavirus,1:25 pm · 8 Mar 2020,jeon⁷@guccivtaee,Daegu being disinfected bcos of having high percentage of corona virus specifically daegu. STAY SAFE South korea and other countries please do the same!!,1,,,1,,,0,153,0.0
coronavirus,1:22 pm · 8 Mar 2020,Bloomberg@business,"Elbow-bumping? No, that's also too risky",1,33,2,17,,,2,40,0.0
coronavirus,12:48 pm · 8 Mar 2020,IG:spenstar_dank@SpenstarD,Niggas laughing at corona virus vs after it hits their country:,1,,,,,,0,63,0.0
coronavirus,1:28 pm · 8 Mar 2020,Castro R D Dlamain@siyabon11644874,Replying to @thendo_sharon,1,,,1,,@thendo_sharon,0,26,0.0
coronavirus,1:15 pm · 8 Mar 2020,devils slut@taurustittiesss,i heard the dumbest shit .. y’all ready?? “the corona virus was made up to make donald trump look bad”.,1,1,1,,,,0,103,0.0
coronavirus,1:29 pm · 8 Mar 2020,Paul Syvret@PSyvret,"Personally, my panic hoarding will begin five minutes after I learn Coronavirus has struck the XXXX brewery.",0,6,,2,,,0,108,24.253562503633297
coronavirus,1:00 pm · 8 Mar 2020,OpIndia.com@OpIndia_com,The Haj House in Ghaziabad was built at the cost of Rs 51 crore in order to give assistance to Muslims on a pilgrimage to Saudi Arabia’s Mecca.,1,180,7,59,,,2,143,0.0
coronavirus,1:21 pm · 8 Mar 2020,aa rahi hai police@Sooryavanshiii,"The glasses make it uncomfortable to wear a mask, wtf corona, couldn't you have transmitted like stds, that way I wouldn't have to worry at all #coronavirus",1,1,1,1,#coronavirus,,0,156,16.90308509457033
coronavirus,1:30 pm · 8 Mar 2020,𝚎𝚖 ☼@thetiredleo,"corona virus just entered my city and there’s 0 hand sanitizers, 0 disinfectant wipes, 0 lysol, 0 gloves anywhere. i’m germaphobic so i’m always in stock at home but the moment this virus enters my city IM OUT. what do i do???? my life source is gone!,.,!!!!",1,1,,,,,0,258,0.0
coronavirus,12:54 pm · 8 Mar 2020,ً@cixflvr,like fl kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut 18+ feet gg stans ariana grande stray kids furry hot follow trick #GainSZN fancam views corona virus imessage games ffs rt like kpop gc promo ifb gain post malone drugs,1,1,,,#GainSZN,,0,255,0.0
coronavirus,1:20 pm · 8 Mar 2020,Anthony Turner@Anthony41806183,#coronavirus what is the truth about this virus..,1,,,,#coronavirus,,0,49,35.35533905932737
coronavirus,12:51 pm · 8 Mar 2020,Skipedia.co.uk@skipedia,"Breaking news: All ski resorts in Lombardy, Italy now under policed lockdown, inc Bormio, Livigno, Aprica, Passo Tonale #coronavirus @planetski",1,3,2,6,#coronavirus,@planetski,0,143,22.360679774997898
coronavirus,1:31 pm · 8 Mar 2020,AndThenMamaSaid @tumi_morake,Coronavirus has us bluetoothing each other signs of peace in and doing basketball throws into the collection plate in church. Can corona just respect Lent asseblief.,1,,,,,,0,165,18.89822365046136
coronavirus,1:30 pm · 8 Mar 2020,𝚎𝚖 ☼@thetiredleo,"corona virus just entered my city and there’s 0 hand sanitizers, 0 disinfectant wipes, 0 lysol, 0 gloves anywhere. i’m germaphobic so i’m always in stock at home but the moment this virus enters my city IM OUT. what do i do???? my life source is gone!,.,!!!!",1,1,,,,,0,258,0.0
coronavirus,1:31 pm · 8 Mar 2020,AndThenMamaSaid @tumi_morake,Coronavirus has us bluetoothing each other signs of peace in and doing basketball throws into the collection plate in church. Can corona just respect Lent asseblief.,1,,,,,,0,165,18.89822365046136
coronavirus,1:32 pm · 8 Mar 2020,aaa@noturb0y,when i catch the corona virus and have the option to spread it,1,,,,,,0,62,0.0
coronavirus,1:31 pm · 8 Mar 2020,Marianne Williamson@marwilliamson,This book explains why something like a coronavirus comes around and we're so unprepared. It's about how the government has been starved of some of its most vital elements by the very people are are leading it. Information is power and this book informs.,1,21,5,8,,,2,254,12.909944487358056
coronavirus,1:02 pm · 8 Mar 2020,Palmer Luckey@PalmerLuckey,Ready for Coronavirus.,1,54,6,8,,,0,22,57.73502691896258
coronavirus,1:10 pm · 8 Mar 2020,ill yaya@kamaiyah,I just saw someone say “ they tweaked the Corona Virus and Re-Released it “ I’m going to fuckin bed ,0,34,,7,,,0,100,0.0
coronavirus,1:30 pm · 8 Mar 2020,Tony De Jonker@TonyDeJonker,How #CoronaVirus cases have escalated in the USA,1,,,,#CoronaVirus,,0,48,35.35533905932737
coronavirus,1:25 pm · 8 Mar 2020,stevie nicks ˚✧₊@1943LUVS,I guess the coronavirus outbreak gives people the right to be racist. This high school had a cultural event and these girls went around making fun of Asians. Her ig is gucci.allyy and yt is Ally Loves. Twitter do ya thing #coronavirus,1,,1,,#coronavirus,,0,234,28.005601680560194
coronavirus,12:50 pm · 8 Mar 2020,Matt Pearce @mattdpearce,"“Almost all other developed economies require employers to offer sick pay for workers. And all of them, except the U.S., provide health care to all citizens regardless of their personal finances.”",0,78,3,40,,,2,196,0.0
coronavirus,12:40 pm · 8 Mar 2020,ً@ilyjoyul,like fl kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut 18+ feet gg stans ariana grande stray kids furry hot follow trick #GainSZN fancam views corona virus imessage games ffs rt like fl kpop gc promo ifb gain follow back,1,1,,,#GainSZN,,0,252,0.0
coronavirus,12:58 pm · 8 Mar 2020,Alberto Nardelli@AlbertoNardelli,Italian couple escapes quarantine to go on holiday. Feels ill. Goes to A&E. Tests positive to coronavirus,1,22,,23,,,2,105,20.412414523193153
coronavirus,12:46 pm · 8 Mar 2020,Phupho_ki_beti@Methi_chai,Guys i am effected by corona virus,1,3,2,,,,0,34,0.0
coronavirus,12:44 pm · 8 Mar 2020,foxipc@foxipc2020,JUST IN: Several Chinese intel confirm that the Chinese government develop the COVID-19 (Corona Virus) as a biological weapon.,1,,,1,,,0,126,0.0
coronavirus,1:28 pm · 8 Mar 2020,ChozoWolf@ChozoWolf,When your state governor declared a state of emergency cause Corona virus is spreading within said state,1,,,,,,0,104,0.0
coronavirus,1:26 pm · 8 Mar 2020,FinanceNews@RokhMedia,Analysts say the coronavirus outbreak won’t hurt the stock that Stifel calls ‘The Terminator’ https://financenews.site/analysts-say-the-coronavirus-outbreak-wont-hurt-the-stock-that-stifel-calls-the-terminator/…,1,,,,,,1,211,22.086305214969308
coronavirus,1:12 pm · 8 Mar 2020,𝔄𝔅𝔊•Commission Open@sasponella,Please commission me I’m not even kidding ever since the corona virus gained public attention and notoriety I have entirely stopped receiving orders of any kind u can dm me or just order a print from my bio this is like my only income and rn it’s gone,0,21,,18,,,0,251,0.0
coronavirus,12:44 pm · 8 Mar 2020,foxipc@foxipc2020,JUST IN: Several Chinese intel confirm that the Chinese government develop the COVID-19 (Corona Virus) as a biological weapon.,1,,,1,,,0,126,0.0
coronavirus,1:23 pm · 8 Mar 2020,Shag Carpet@_Stuff_Things,"Ronies, exciting and new.
Come aboard. We’re expecting you...
Port of Oakland  
Dysentery and #CoronaVirus 
What’s your dream cruise?",1,1,,,#CoronaVirus,,0,133,20.851441405707476
coronavirus,1:13 pm · 8 Mar 2020,𝔧𝔬𝔥𝔫 / 🅂🄴🄰🅁🅁🄴🄽@stanfinnegan,Me booking a flight to northern Italy to get the call me by your name vibez going because the corona virus made flights cheap,1,1,,,,,0,125,0.0
coronavirus,12:49 pm · 8 Mar 2020,Ibrahim@Ibrahim31046649,"What qualification has the apostate Mabrook got to deal with corona Virus? Seems hatred of Islam is the only qualification that Ibu Solih needs. 

Put a medical expert who is a Muslim in charge of dealing with the issue.",0,3,,3,,,0,220,0.0
coronavirus,1:33 pm · 8 Mar 2020,ً@ilyjoyul,like fl kpop gc promo nsfw shindong heechul momo loyal list loyalies shawn mendes smut 18+ feet gg stans ariana grande stray kids furry hot follow trick #GainSZN fancam views corona virus imessage games ffs rt like kpop gc promo ifb gain post malone drugs,1,,,,#GainSZN,,0,255,0.0
coronavirus,1:30 pm · 8 Mar 2020,Economic Times@EconomicTimes,The move comes days after Sikkim announced similar curbs on visit of foreigners. #coronavirus,1,4,,1,#coronavirus,,2,93,26.72612419124244
coronavirus,12:53 pm · 8 Mar 2020,sandip murmu@_crush_ka_crush,Corona virus watching Delhi people killing each other.,1,,,,,,0,54,0.0
coronavirus,1:25 pm · 8 Mar 2020,editorji@editorji,"1 more person tests positive for coronavirus in Tamil Nadu, India tally at 40

#Coronavirus #COVID19",1,1,,1,"#Coronavirus,#COVID19",,0,100,47.14045207910317
coronavirus,1:26 pm · 8 Mar 2020,The Indian Express@IndianExpress,"Coronavirus threat: Arunachal Pradesh bans entry of foreigners

Follow #CoronavirusOutbreak LIVE Updates.",1,6,,4,#CoronavirusOutbreak,,2,105,28.86751345948129
coronavirus,12:47 pm · 8 Mar 2020,JaswantMangalraw@jaswant29,"#coronavirusinindia
#Satbhakti_Cure_CoronaVirus
God Kabir Can Kill any type of disease like AIDS, Cancer etc.
Only true worship can remove your all sorrows so take naam Diksha from Saint Rampal Ji Maharaj
- Must Watch Sadhana TV 07:30PM",1,6,,4,"#coronavirusinindia,#Satbhakti_Cure_,CoronaVirus",,0,236,0.0
coronavirus,1:17 pm · 8 Mar 2020,SURVEY MANILA@SurveyManila,"#WalangPasok in all levels March 9, 2020 due to corona virus (COVID 19) outbreak as of March 8, 2020

NAVOTAS CITY
SAN JUAN CITY",0,2,,3,#WalangPasok,,0,128,0.0
coronavirus,12:56 pm · 8 Mar 2020,FreeZerohedge@freezerohedge,"Elon Musk Says Panic About Coronavirus, Which Has Killed Over 3,400, Is ""Dumb""",1,38,17,12,,,2,78,26.72612419124244
