Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
kohli,9:13 pm · 22 Feb 2020,Trollvk_haters™@TrollvkH,"Cricket Isn't A Global Sport , There Are Number of Countries Which Doesn't Know What's Cricket All About!

Then There's @imVkohli 
Man Breaking All Windows And Becoming A GLOBAL Star..

King KOHLI 
#GOATkohli ..!!!",0,564,10,102,#GOATkohli,@imVkohli,0,214,14.142135623730951
kohli,10:39 am · 23 Feb 2020,ICC@ICC,"Trent Boult bounces out the big fish!

Boult probed Kohli with the fuller stuff and then delivered the sharp bouncer. Kohli was rushed on the pull shot and only got an edge to the keeper.

#NZvIND",1,3.4K,59,106,#NZvIND,,0,196,25.4000254000381
kohli,11:20 am · 23 Feb 2020,`@FourOverthrows,"Virat Kohli against Trent Boult across formats since the start of 2019:

Balls : 25
Runs : 7
Wickets: 4

#NZvIND",1,726,20,135,#NZvIND,,0,112,22.941573387056174
kohli,9:54 am · 23 Feb 2020,Johns.@CricCrazyJohns,"Most Runs for India in tests:

Sachin - 15921
Dravid - 13265
Gavaskar - 10122
Laxman - 8781
Sehwag - 8503
Kohli - 7216**

He has gone past former Indian captain Ganguly in test runs.

#NZvIND",0,1.4K,20,140,#NZvIND,,0,191,17.14985851425088
kohli,11:01 am · 23 Feb 2020,Troll Dhawan Haters@Dhawanswarrior,"Kohli after this test series....
#Thankyoukohli",1,304,13,55,#Thankyoukohli,,0,47,40.824829046386306
kohli,12:30 pm · 23 Feb 2020,Rohit Sharma™@Ro45FC_,"Highest Average in Away from home in Test Cricket among Indians:

54.74 - Sachin Tendulkar
53.61 - Rahul Dravid
52.11 - Sunil Gavaskar
51.86 - M Amarnath
46.76 - Ajinkya Rahane
46.12 - Virat Kohli
44.73 - Sehwag
43.61 - Gautam Gambhir

#NZvIND",1,703,13,94,#NZvIND,,0,243,14.285714285714285
kohli,7:33 pm · 22 Feb 2020,CricketMAN2@man4_cricket,"1, 8, 25, 0, 39, 28, 0, 7, 6, And 20 in 2014 (139 runs)

149, 51, 23, 17, 97, 103, 46, 58, 49, 0 in 2019 (593 runs)

Anderson Could not Dismiss Kohli even once in 2018.

#KingKohli #ViratKohli",1,606,16,77,"#KingKohli,#ViratKohli",,0,192,13.608276348795433
kohli,8:21 pm · 20 Feb 2020,CricketMAN2@man4_cricket,"Fastest Odi Century for India (by balls)

Kohli - 52
Sehwag - 60
Kohli - 61
Azharuddin - 62
Yuvraj - 64

Who's Name in the top 5 Twice
Hey, who is making the Cricket World Rule right Now. - @imVkohli.",0,595,10,84,,@imVkohli,0,200,30.860669992418384
kohli,10:44 am · 23 Feb 2020,Silly Point@FarziCricketer,Kohli failed on New Zealand tour.,1,667,19,96,,,0,33,40.824829046386306
kohli,6:18 pm · 22 Feb 2020,Sнєяℓσ¢к Hσℓмєѕ@imBatasari,"Indian Cricket Team:

Ganguly gave it a spine

Kumble gave it a heart.

Dhoni gave it brains.

Now, Kohli is giving it Guts . 

@imVkohli",1,781,18,96,,@imVkohli,0,137,15.07556722888818
kohli,6:23 am · 21 Feb 2020,Rohit Yadav@cricrohit,"Losing the toss & batting in first innings of the match:

S Smith- 12 inn, 884 runs, avg 88.4, five 100s, one 50
Root-15 inn, 576 runs, avg 41.14, one 100, Three 50s
Williamson- 20 inn, 689 runs, avg 34.45, one 100, five 50s
Kohli- 12 inn, 303 runs, avg 25.25, two 50s

#NZvIND",0,266,23,56,#NZvIND,,0,277,9.284766908852593
kohli,5:29 am · 21 Feb 2020,Manya@CSKian716,"When there's a debutant in the opposition team's playing XI

KOHLI:

#NZvsIND",1,236,5,38,#NZvsIND,,0,77,25.0
kohli,9:03 pm · 23 Feb 2020,CricketMAN2@man4_cricket,"6, 4, 6, 6, 6, 2 (30 Runs)

Kohli Scored 30 Runs in an Over. @imVkohli scored the biggest Over of his T20 Career.

Destruction Of #ViratKohli.",1,248,6,54,#ViratKohli,@imVkohli,0,142,14.285714285714285
kohli,6:01 pm · 23 Feb 2020,CricTracker@Cricketracker,.@imVkohli is the only cricketer in the top five most valuable athletes on Twitter. #Cricket,1,1K,12,127,#Cricket,@imVkohli,0,92,0.0
kohli,12:29 pm · 23 Feb 2020,CricTracker@Cricketracker,We all are missing pumped-up Virat Kohli. #NZvIND,1,1K,29,107,#NZvIND,,0,49,33.33333333333333
kohli,11:32 am · 22 Feb 2020,Broken Cricket@BrokenCricket,Virat Kohli becomes the fourh Indian to take 250 Catches in International Cricket...,0,2.2K,6,251,,,0,84,27.735009811261456
kohli,10:40 am · 23 Feb 2020,Broken Cricket@BrokenCricket,"Virat Kohli since his 70th International Century:

94*, 19, 70*, 4, 0, 85, 30*, 26, 16, 78, 89, 45, 11, 38, 11, 51, 15, 9, 2, 19",0,3.2K,73,446,,,0,128,17.96053020267749
kohli,11:12 am · 23 Feb 2020,Frank Iyer@FranklinnnMJ,"Who is the king of Indian cricket right now? 
Let’s see who wins! 

RT for #Kohli 
LIKE for #Rohit 
#NZvIND #NZvsIND
#ViratKohli #RohitSharma #Hitman",0,430,7,106,"#Kohli,#Rohit,#NZvIND,#NZvsIND,#ViratKohli,#RohitSharma,#Hitman",,0,149,18.569533817705185
kohli,9:03 pm · 23 Feb 2020,CricketMAN2@man4_cricket,"6, 4, 6, 6, 6, 2 (30 Runs)

Kohli Scored 30 Runs in an Over. @imVkohli scored the biggest Over of his T20 Career.

Destruction Of #ViratKohli.",1,248,6,54,#ViratKohli,@imVkohli,0,142,14.285714285714285
kohli,10:58 am · 23 Feb 2020,Daniel Alexander@daniel86cricket,"19, 2, 9, 15, 51, 11, 38, 11, 45 - Virat Kohli's scores in New Zealand series 2020 (all 3 formats). #Cricket

Inns - 9
Runs - 201
Ave - 22.33
50 - 1

*Steve Smith, Babar Azam & Kane Williamson top three all format batsmen and score in all conditions. Kohli over-rated.",0,3K,540,387,#Cricket,,0,268,25.0
kohli,6:15 pm · 23 Feb 2020,Vivek Ranjan Agnihotri@vivekagnihotri,"Just back from MahaShivratri Mahaotsava organised by @JKVicharManch with ex Governor Shri OP Kohli ji. 

We have no words for your love and blessings. 

Without the diversity of Kashmir, Indic Renaissance is not possible.",1,1.1K,22,156,,@JKVicharManch,0,221,17.14985851425088
kohli,5:54 pm · 21 Feb 2020,Broken Cricket@BrokenCricket,"Virat Kohli
Shikhar Dhawan
Mohammad Shami
Kuldeep Yadav

Set to play for Asia XI in two match T20I series against World XI on 18th and 21st March.",0,3.5K,44,403,,,0,146,18.569533817705185
