Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
once upon a time,"4:47 AM · May 4, 2020",Azar-SA@Azar70727722·3h,Replying to @emteethehustla_Once upon a time A reece said :1:30535 views643,1,43,,6,,@emteethehustla_,0,75
once upon a time,"12:56 PM · May 3, 2020", Lana On This Day @LanaOnThisDay·18h,"• May 3, 2015 •
5 years ago today, @LanaParrilla appeared in Once Upon a Time Season 4 Episode 20 “Mother”2:192.9K views230146",1,146,2,30,,@LanaParrilla,0,126
once upon a time,"2:54 AM · May 3, 2020",HCQ@HCQTM·May 3,#अमिश_देवगन_झूठा_है Once upon a time ILIAS Lashes #amishdevgan1:502.9K views1788248,1,248,17,88,"#अमिश_देवगन_झूठा_है,#amishdevgan",,0,83
once upon a time,"12:34 AM · May 2, 2020",Hearticles@rihpael·May 2,Once upon a time when she was a singer103932K,1,2K,10,393,,,0,45
once upon a time,"12:45 PM · May 3, 2020",Skip Bolden@skipbolden·19h,"Once Upon a Time in the West (1968)
Directed by Sergio LeoneGIF983329",1,329,9,83,,,0,69
once upon a time,"8:52 AM · May 3, 2020",—@ultimatelyzn·23h,"LABYRINTH'S CLARITY 

Once upon a time, Labyrinth, whose world is messy, meets Clarity – who’ll completely change his life.12073",1,73,1,20,,,0,128
once upon a time,"2:48 AM · May 3, 2020",JimPowers@JimPowersXXX·May 3,Digging around in the attic I cane across this.   Once upon a time I could work @pornodanThe following media includes potentially sensitive content. Change settingsView1232,0,32,12,,,@pornodan,0,172
once upon a time,"7:54 PM · May 2, 2020",Muktar@Mukyfresh·May 2,"Once upon a time in ""AC Milan""2826",1,26,2,8,,,0,34
once upon a time,"4:08 PM · May 2, 2020",𝒮𝒶𝓃𝑔𝓊𝒾𝓃𝑒 @ndhzhrn_·May 2,"Once upon a time there was a twat. Oh it was you @zack91111. The end.Quote Tweetfahmiifaizal@fahmiifaizal_ · May 2JANGAN SALAHKAN PEREMPUAN. LELAKI KALAU DAH JENIS BERTUHANKAN NAFSU, PEREMPUAN PAKAI SEPULUH LAPIS BAJU PUN DIA BOLEH HORNY. BODOH!310",0,10,,3,,@zack91111,0,248
once upon a time,"1:56 PM · May 3, 2020",pekae_tws@pekae_tws·17h,once upon a time in maldives52211.4K,1,1.4K,5,221,,,0,36
