Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
womens day,3:03 pm · 8 Mar 2020,bort@madofrancina,#WomensDay demonstration in Spain . The feminist movement has become very strong in the country in recent years.,1,3,,1,#WomensDay,,0,112,0.0
womens day,3:23 pm · 8 Mar 2020,lafa@sulafaqop,".We all have a ‘Wonder Woman’ inside of us.”
#WomensDay",0,16,,4,#WomensDay,,0,55,0.0
womens day,3:08 pm · 8 Mar 2020,Richard Burgon MP@RichardBurgon,"Happy International Women's Day! 

The struggle for socialism must have the struggle for women's equality at its core! 

#IWD2020",0,176,29,70,#IWD2020,,2,129,12.70001270001905
womens day,3:31 pm · 8 Mar 2020,Ã7ΗΜΞΣ@AhmedYa_257,"One woman could change the world but together we make nations 
#WomensDay",0,,,,#WomensDay,,0,73,0.0
womens day,3:22 pm · 8 Mar 2020,HELLOTACHA@hellotacha,"#RespectTacha as a Strong Woman she is, Happy International Women’s Day ",1,31,,19,#RespectTacha,,0,72,20.41241452319315
womens day,3:31 pm · 8 Mar 2020,۔مشہود سید۔ @Hashmi_says,"Just Tell me this.
Is this has Anything to do with the Women's Rights?
Just Spreading Shamelessness.
#WomensDay",0,,,,#WomensDay,,0,111,0.0
womens day,3:27 pm · 8 Mar 2020, சத்தம் போடக்கூடாது @itz_varunVJ,"Women's Day vs Men's day 
#Master @actorvijay",1,3,,3,#Master,@actorvijay,0,45,39.2232270276368
womens day,3:28 pm · 8 Mar 2020,ElevateUg@UgElevate,"A happy women's day to all the ladies out there! We see you, we appreciate you! You are because we are, and we are because you are!
#ElevateUg #WomensDay",0,6,,6,"#ElevateUg,#WomensDay",,0,153,8.57492925712544
womens day,3:27 pm · 8 Mar 2020,rezaie.narges14@gmail.com@Narges14Rezaie,"You may write me down in history
With your bitter, twisted lies
You may tread me in the very dirt
But still, like dust, I’ll rise

#WomensDay",0,1,,1,#WomensDay,,0,141,0.0
womens day,3:02 pm · 8 Mar 2020,Dharshi@DharshiPriya5,"Good evening tweeps

“Women are the largest untapped reservoir of talent in the world.”

#WomensDay
#WomensDay2020",0,17,5,9,"#WomensDay,#WomensDay2020",,0,114,0.0
womens day,3:16 pm · 8 Mar 2020,Obaid Amin@ObaidAmin8,"Everyday is a women day for us That's what we are taught by our parents, families and teachers. #AuratAzadiMarch",1,4,,1,#AuratAzadiMarch,,0,112,15.811388300841896
womens day,3:28 pm · 8 Mar 2020,World Health Organization (WHO)@WHO,"On #WomensDay, we celebrate all nurses and midwives who take care of us, our families and our communities.
Thank you nurses and midwives!",0,51,,19,#WomensDay,,0,137,0.0
womens day,3:09 pm · 8 Mar 2020,Navin khan@iamnavinkhan,"Never give up 

#INDvAUS #WomensDay",0,7,,3,"#INDvAUS,#WomensDay",,0,35,0.0
womens day,3:06 pm · 8 Mar 2020,தல நடராஜன்-மேலப்பட்டி@natarajan333,"Respect Women Equally 
#WomensDay
#HappyWomensDay
#Valimai l #Thala l #ValimaiDiwali",1,4,,6,"#WomensDay,#HappyWomensDay,#Valimai,#Thala,#ValimaiDiwali",,0,84,0.0
womens day,3:08 pm · 8 Mar 2020,The Award-Winning Darver Castle Wedding Venue@Darvercastle,"#LouthChat Here's to all the incredible women Happy #InternationalWomensDay 

We  you all!

Have a wonderful Sunday!

 #WomensDay",0,5,,5,"#LouthChat,#InternationalWomensDay,#WomensDay",,0,129,0.0
womens day,3:02 pm · 8 Mar 2020,Dharshi@DharshiPriya5,"Good evening tweeps

“Women are the largest untapped reservoir of talent in the world.”

#WomensDay
#WomensDay2020",0,17,5,9,"#WomensDay,#WomensDay2020",,0,114,0.0
womens day,3:30 pm · 8 Mar 2020,TodayGlitter@todayglitter1,"“The strongest action for a woman is to love herself, be herself, and shine amongst those who never believed she could.” –Unknown.      Happy Womens Day! ",0,2,,2,,,0,154,27.216552697590863
womens day,3:30 pm · 8 Mar 2020,Sun Music@SunMusic,"Meet the heroine from our streets!

#WomensDay #HappyWomensDay #HappyWomensDay2020 #InternationalWomensDay #IWD2020",1,2,,1,"#WomensDay,#HappyWomensDay,#HappyWomensDay2020,#InternationalWomensDay,#IWD2020",,0,115,0.0
womens day,3:20 pm · 8 Mar 2020,Showcase Music School@ShowcaseMS,"Happy #InternationalWomensDay 

Thank you to our team, class teachers, headteachers, volunteers, mums, family & carers & most of all the aspiring young women & girls we are inspired by & lucky to work with every day - who are going to change the world through music & more.",0,18,,11,#InternationalWomensDay,,0,273,9.8058067569092
womens day,3:21 pm · 8 Mar 2020,Kensington Palace@KensingtonRoyal,"Today is #InternationalWomenDay!

To mark the day we’re celebrating some of the remarkable and inspiring women we have met over the last year: https://instagram.com/p/B9d9e5FlDG5",1,552,8,84,#InternationalWomenDay,,1,178,11.624763874381928
womens day,3:15 pm · 8 Mar 2020,Iwacu +250@250_iwacu,"Happy #WomensDay to all the ladies out there. We appreciate whatever you do to keep the world running.
#TheFutureIsFemale",0,6,,1,"#WomensDay,#TheFutureIsFemale",,0,121,0.0
womens day,3:31 pm · 8 Mar 2020,Teaching@getintoteaching,Happy International Women's Day to everybody feeling inspired by this important day! #IWD2020,0,,,,#IWD2020,,0,93,35.35533905932737
womens day,3:31 pm · 8 Mar 2020,Digbeth Weddings@DigbethWeddings,Happy International Women's Day!  Make sure to spread the love to all the special women in your life. #digbethweddings #internationalwomensday,0,,,,"#digbethweddings,#internationalwomensday",,0,142,13.608276348795432
womens day,3:30 pm · 8 Mar 2020,World Food Program USA@WFPUSA,"Happy International #WomensDay!

To our beneficiaries, staff, supporters, and all women around the world we say thank you. #IWD2020
",1,,,,"#WomensDay,#IWD2020",,0,132,0.0
womens day,3:29 pm · 8 Mar 2020,Shehbaz Sharif@CMShehbaz,"As we acknowledge d amazing services of our women in every field of life including agriculture/science/sports, it’s equally important to realise the issues they face in their day-to-day lives. Equal opportunities to grow & a sense of safety @ workplaces & home r just basic rights",0,97,16,15,,,0,280,17.677669529663685
womens day,3:03 pm · 8 Mar 2020,Froza Ahmed@froza_ahmed,The woman holds a list of child rape victims. #WomensDay #AuratMarch2020,0,5,1,2,"#WomensDay,#AuratMarch2020",,0,72,0.0
womens day,3:30 pm · 8 Mar 2020,Tomi@Tomibamz,"Since it’s international women’s day, I decided to drop these here.
   I hope to see you smile more Tomi baby
     You’re amazing 
#InternationalWomensDay2020",0,1,,1,#InternationalWomensDay2020,,0,158,12.126781251816649
womens day,3:31 pm · 8 Mar 2020,Basunzi 09@basunzi,Games Area set up by @humurachildcare #TheBudoLeague #WomensDay,0,,,,"#TheBudoLeague,#WomensDay",@humurachildcare,0,63,0.0
womens day,3:06 pm · 8 Mar 2020,tayush@SpilllTheTee,"An old poem of mine 
Happy #WomensDay",0,9,2,4,#WomensDay,,0,37,0.0
womens day,3:10 pm · 8 Mar 2020,@fUlllA_33,"You are the past, the present , and the  future  
#WomensDay
#اليوم_العالمي_للمرأة",0,6,,2,"#WomensDay,#اليوم_العالمي_للمرأة",@fUlllA_33,0,82,0.0
womens day,3:24 pm · 8 Mar 2020,Berozgaar 𝓓𝓮𝓮𝓹𝓪𝓴 𝓢𝓱𝓾𝓴𝓵𝓪 دیپک شکلا@Deep4IND,Wishing all womens out there a very #HappyWomensDay though it's not just wishing them only on particular occasion...Rather I say every day we should be thankful to them. Without them..We are like..,0,1,,1,#HappyWomensDay,,0,197,21.08185106778919
womens day,3:14 pm · 8 Mar 2020,PawanKalyan Youth Force@TeamPKYF,"TFI Top Most Liked Lyrical Video 
#MaguvaMaguva #VakeelSaab #PawanKalyan #WomensDay 

YT :- https://youtu.be/-MAu6uPJ89o",0,58,,41,"#MaguvaMaguva,#VakeelSaab,#PawanKalyan,#WomensDay",,1,120,0.0
womens day,3:19 pm · 8 Mar 2020,Avnika Choudhary@ChoudharyAvnika,"Happy women's day to all lovely ladies 
#RangBarseWithSid
@sidharth_shukla ",0,2,,11,#RangBarseWithSid,@sidharth_shukla,0,75,22.360679774997898
womens day,3:30 pm · 8 Mar 2020,BubblyBrushes@BubblyBrushes,"Happy International Women’s Day!! To all the women out there keep being resilient, strong and ambitious! 
.
Swipe to see close-up and time lapse 
.
Follow: @bubblybrushes 
.
#happywomensday… https://instagram.com/p/B9d_EvCjQ4x/?igshid=7pj9m27dj4ob…",0,,,,#happywomensday,@bubblybrushes,1,248,11.043152607484654
womens day,3:30 pm · 8 Mar 2020,Paralympic Games@Paralympics,"Happy International Women's Day!

Today we're recognising women that are integral to the growth and success of the Paralympic Movement. #IWD2020",1,5,,,#IWD2020,,0,144,13.608276348795432
