Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
4 Years of FAN,"6:57 PM · Apr 14, 2020",Azhar Shaikh@Azhar0555,4 years of fan  aryan khanna 1415,0,15,,14,,,0,33
4 Years of FAN,"12:32 PM · Apr 21, 2020",Footy Accumulators@FootyAccums,"TWO YEARS AGO TODAY: A bunch of Wolves fans in an executive box celebrate their team's 4-0 win at Bolton! 

This win also confirmed their return to the Premier League! 1063895",0,895,10,63,,,0,175
4 Years of FAN,"6:57 PM · May 3, 2020",Pop Tingz | Pop Culture & Music Expert@ThePopTingz,"4 years after its release and after fans trended #JusticeForGlory, 
Britney Spears' ninth album “Glory” returns to the Top 20 of US iTunes!8117340",1,340,8,117,#JusticeForGlory,,0,146
4 Years of FAN,"8:02 PM · Apr 20, 2020","Giants Called Me, HYPED@Gilbertbelieve2","4/20 will now be referred to as national #GodofWar day amongst PlayStation fans. Released two years ago, and it is still the Greatest Game of this Generation so far. Bring on Part 2 on #PS5 211861.7K",0,1.7K,21,186,"#GodofWar,#PS5",,0,199
4 Years of FAN,"5:00 PM · Apr 20, 2020",Marley@MarleyThirteen,"After 4 years away Scottish COD Players RETURNS Thursday April 23rd in aid of NHS Charities Together 

SCP fans, let's raise as much money as possible to help the incredible NHS staff & volunteers on the frontline of the COVID-19 pandemic

Donate here: https://justgiving.com/fundraising/scp25…753121.6K",0,1.6K,75,312,,,1,303
4 Years of FAN,"2:17 PM · Apr 19, 2020",nadine @abstractnadine,Habis bongkar2 and i found my assignment from around... 4 years ago? I was 13-14 y.o. in JHS. I did full watercolor untuk pameran  kelihatan bgt umur 13 i just threw whatever colors i think was pretty enough. Oh and i was a BIG fan of Ghibli (i still am sampe skrg) 8462,0,62,8,4,,,0,270
4 Years of FAN,"7:44 AM · Apr 14, 2020",Yash Shukla (#AsimSquad)@YashasviShukla7,"Losers kept barking, & Asim won millions of hearts. Even after working in the industry for so many years they are not able to gather the kind of fan following that Asim gained in just 4 months. He proved everybody wrong by his brilliant game. #AsimRiaz #AsimSquad83885",1,85,8,38,"#AsimRiaz,#AsimSquad",,0,268
4 Years of FAN,"8:46 AM · Apr 15, 2020",srkian@srkrules,"Srkians on 4 years of Fan 
#4YearsOfFAN23",0,3,,2,#4YearsOfFAN,,0,41
4 Years of FAN,"1:26 PM · Apr 20, 2020",90 Minutes Or Less Film Fest@90minfilmfest,"The @Criterion Collection have been releasing Blu-rays in the UK for 4 years!  To celebrate, they're giving our pod fans the chance to win FOUR of their 2020 releases!  For a chance to win, just follow us and RT this #Criterion tweet 6301116",0,116,6,301,#Criterion,@Criterion,0,241
4 Years of FAN,"6:43 PM · Apr 14, 2020",Azhar Shaikh@Azhar0555,Celebration 4 years of Fan 108,0,8,,10,,,0,30
4 Years of FAN,"4:30 PM · Apr 29, 2020",Portsmouth FC@Pompey," 81 years ago today, we won the FA Cup for the first time in our history!

 #Pompey beat Wolves 4-1 in front of almost 100,000 fans at Wembley to claim the trophy1246432",0,432,12,46,#Pompey,,0,169
4 Years of FAN,"5:37 PM · Apr 22, 2020",𝐃𝐚𝐧𝐝𝐞𝐥𝐢𝐨𝐧 @kkotgil131,"[2016.04.23] 4 years ago, Hanbin was separated from his pet tortoise (name: Michelangelo) because he had to fly back to Korea

Hanbin looked back thrice to remind his fans to take care of the turtle
#SweetLikeCandy131108258",0,258,,108,#SweetLikeCandy131,,0,223
4 Years of FAN,"11:11 PM · Apr 16, 2020",Des@Dessy_324,"Hey @lildickytweets ! I've been a huge fan for years now! Watching episode 4 of your show, I noticed we have the same exact same sweater!

So hear me out, as a fan (who obviously shares your great style) AND as an aspiring actress, it's only right that you put me in an episode!21754",1,54,2,17,,@lildickytweets,0,283
4 Years of FAN,"8:42 PM · May 1, 2020",Mike Klis@MikeKlis,"Bronco fans never cease to amaze. It's been 4 years since playoffs, but I think Bronco fans appreciate how Elway goes for it every year. He may not always hit. But he always goes for it. Broncoland seems to have confidence in direction of team. #9sportsQuote TweetProFootballTalk@ProFootballTalk · May 1Despite three straight losing seasons and an ongoing pandemic, the Broncos have a 95-percent season-ticket renewal rate https://wp.me/pbBqYq-bwqB3875773",0,773,38,75,#9sports,,0,455
4 Years of FAN,"7:56 PM · May 3, 2020",Kill  Commissions Open@Killtasticles,"I guess we will do this by likes.
I struggled at how to digitally paint while in school and it took me some time to grasp it. I've only been digitally drawing for 4 years now. Everything before that was traditional. I was a big fan of inking with those dipping pens21",0,1,2,,,,0,267
4 Years of FAN,"5:16 PM · Apr 20, 2020",The Football Arena@FootballlArena,"In 2009 signed for Real Madrid 
⠀
In 2012, Ronaldo said he owes Real Madrid fans the Champions League... He won 4 of them in 5 years, 3 of them back-to-back-to-back.⠀
⠀
He said, he did! 242165",0,165,2,42,,,0,192
4 Years of FAN,"3:53 PM · Apr 15, 2020",Will Reilly@97WillReilly,"Very excited and proud to sign my first NHL contract with the @penguins! Thank you to @RPIAthletics , @RPI_Hockey , my coaches, teammates and the fans for the best 4 years of my life. I’m so grateful I had the opportunity to play at such a great place. Gonna miss it! #GoPensGo4090911",1,911,40,90,#GoPensGo,"@penguins,@RPIAthletics,@RPI_Hockey",0,284
4 Years of FAN,"9:23 AM · May 2, 2020",Mod@CFCMod_,"4 years ago today Eden Hazard fired it top corner against Spurs to end their title hopes and cemented the league for Leicester. He really went on to do his iconic knee slide in front of their fans too, what a game man.272142.1K",0,2.1K,27,214,,,0,227
4 Years of FAN,"1:20 PM · Apr 20, 2020",BSB Cruises@BSBCruiseNews,"It’s a beautiful day for an anniversary! 4/20/1993, 27 years later and going strong with an incredible army of fans! #BSBAnniversary #BSB27YearsGIF2869",1,69,2,8,"#BSBAnniversary,#BSB27Years",,0,151
4 Years of FAN,"12:29 PM · Apr 22, 2020",ً@handIedwithIove,over 4 years of being a zara fan and I still haven’t seen her live... and it’s clearly not gonna happen this year either6131,1,31,6,1,,,0,124
4 Years of FAN,"2:55 AM · Apr 19, 2020",D-7 Sungjae Military Enlistment @revemelolove,"FOR THESE PAST 4 YEARS BEING A FAN OF PARK SOOYOUNG NEVER IN THAT YEARS SHE DISAPPOINT ME, I FEEL LIKE IM GROWING MY OWN DAUGHTER. IM SO PROUD OF YOU JOY!  @RVsmtown220",0,20,,2,,@RVsmtown,0,168
4 Years of FAN,"6:05 AM · Apr 16, 2020",wtfisthis@wthisthisx,"up until now for about 4 years, 90% of their works except for summer comebacks are magic/space related. So this shows that the company kinda has this supernatural ideas for a very long time. So I just want to share this to everyone that most of the claims were made by fans that134146",1,146,1,34,,,0,284
4 Years of FAN,"10:07 AM · Apr 14, 2020",Mohammed Mubarak Khan Shah Rukh Khan ka fan @Mohammedsrkking,"Wo Sirf star nahi hai duniya hai Meri
4 years of fan the amazing acting  blockbuster movie Khan sahab I love you 
@iamsrk2",0,2,,,,@iamsrk,0,122
4 Years of FAN,"3:17 AM · Apr 25, 2020",Barlog S. A. Cory @corybarlog,"4 years ago I got to show off this cool thing I was working on with @SonySantaMonica, hang out with Jeff and John from @BendStudio, and watch Kojima eat Panda Express with his entourage.

Not in a creepy stalker way. More of a 'trying to play it cool fan' sort of way. Quote TweetJeff Ross #DaysGone@JakeRocket · Apr 25What a night. Got to hang out with @corybarlog @John_Garvin @Kaizerkunkun and @Kojima_Hideo for like 5 hours in a really hot green room. And I had to go out and play last. #DaysGone #Anniversary #E32016 https://twitter.com/Trailer_Tim/status/1253869175195398144…1517316",0,316,15,17,,"@SonySantaMonica,@BendStudio",0,588
4 Years of FAN,"6:05 PM · Apr 29, 2020",Drake Lyrics.@Draketext,"Today marks 4 years since Drake dropped Views, with songs like “Fire and Desire, Weston Road Flows and Redemption.” Views was highly criticized at the time of release, but has aged nicely since. It’s amongst fans favorite work by Drizzy. What’s your favorite songs?322",1,22,,3,,,0,268
4 Years of FAN,"8:04 AM · May 4, 2020",Funky Voices Fans@FunkyVoicesFans,#memories 4 years ago! What a great day this was. #choiroftheyear @RealFunkyvoices #proudFunky Voices performing @ National Choir of the YearFunky Voices performing @ Choir of the Year www.funkyvoices.co.uk Join a Modern Choir 07834 765 473 @funkyvoicesyoutube.com13,1,3,,1,"#memories,#choiroftheyear,#proud",@RealFunkyvoices,0,266
