Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
AvengersEndgame,"1:36 AM · May 3, 2020",best of chris evans@bestofcevans·May 3," New | Chris Evans, Robert Downey Jr, Chris Hemsworth, Mark Ruffalo, Scarlett Johansson and Jeremy Renner teamed up to send a message to Kids Choice Awards, happening tonight, after winning Best Movie for Avengers Endgame. Check it out!1:2864.8K views281.4K5.1K",1,5.1K,28,1.4K,,,0,261
AvengersEndgame,"1:09 AM · May 3, 2020",RDJ JP@luvrobertdowney·May 3,"Kids Choice Awards 2020
Favorite Movie is ""Avengers:Endgame""!1:2415.1K views3307579",1,579,3,307,,,0,83
AvengersEndgame,"4:13 AM · May 4, 2020",ϟ@cevans_rdj·2h,"i miss them

#AvengersEndgame4",1,4,,,#AvengersEndgame,,0,30
AvengersEndgame,"11:11 PM · May 3, 2020",Marcela @MarceCRM·7h,I love this. #ScarlettJohansson #ChrisEvans #ChrisHemsworth #JeremyRenner #markruffalo #RobertDowneyJr #KidsChoiceAwards Favorite movie. #AvengersEndgame 1:32167 views158,1,8,1,5,"#ScarlettJohansson,#ChrisEvans,#ChrisHemsworth,#JeremyRenner,#markruffalo,#RobertDowneyJr,#KidsChoiceAwards,#AvengersEndgame",,0,170
AvengersEndgame,"2:45 PM · May 1, 2020",Joey @kiss_and_roses·May 1,"Avengers: Endgame (2019)
Tony Stark, Steve RogersGIF1189421",1,421,1,189,,,0,59
AvengersEndgame,"4:04 PM · May 2, 2020",Television & Movies @tvs_movies·May 2,Avengers Endgame Plot hole & continuity error video went viral on tiktok0:4159.5K viewsFrom Bagel Boy903281K,1,1K,90,328,,,0,108
AvengersEndgame,"8:40 PM · Apr 30, 2020",The Hollywood Reporter@THR·Apr 30,"Joe and Anthony Russo, the filmmakers behind #AvengersEndgame and #InfinityWar, are set to produce Disney's live-action #Hercules remake'Hercules' Live-Action Remake in the Works From Disney, 'Shang-Chi' Writer (Exclusive)Joe and Anthony Russo are producing, but not directing, the remake via their AGBO banner.hollywoodreporter.com32167549",1,549,32,167,"#AvengersEndgame,#InfinityWar,#Hercules",,2,340
AvengersEndgame,"2:15 PM · May 1, 2020",jay •@pineapplebreads·May 1,"""It wasn't worth it.""

#AvengersEndgame684111K",1,1K,68,411,#AvengersEndgame,,0,46
AvengersEndgame,"12:25 AM · Apr 28, 2020",A Comics@comics_a·Apr 28,"I love all the callbacks in Avengers Endgame. 
#AvengersAssemble650",1,50,,6,#AvengersAssemble,,0,67
AvengersEndgame,"12:23 PM · May 3, 2020",Nickelodeon@Nickelodeon·18h,did you catch this Avengers: Endgame reunion during #KCA2020? 1:2947.6K views305762K,1,2K,30,576,#KCA2020,,0,84
AvengersEndgame,"3:42 PM · May 2, 2020"," Patrochilles,@UchihaNippa·May 2","Marvel: Avengers Endgame is the most ambitious crossover event in history 

This:0:18145.6K viewsFrom ด.ช.ต้นไม้ต้นใหญ่571",1,1,,57,,,0,122
AvengersEndgame,"8:52 PM · Apr 28, 2020",MCU Direct@MCU_Direct·Apr 28,Stormbreaker impalement. More new #AvengersInfinityWar and #AvengersEndgame BTS photos: https://thedirect.com/article/37-behind-the-scenes-photo-reveals-from-the-avengers-endgame-watch-party…165645.4K,1,5.4K,16,564,"#AvengersInfinityWar,#AvengersEndgame",,1,200
