Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length
MayThe4thBeWithYou,"7:34 AM · May 4, 2020",The Sting@TheSting17,"#MayThe4thBeWithYou so 'ere's Brick Vader to celebrate. Put the kettle on Errol.
Sound on for this one. 2:195K views1148153",1,153,11,48,#MayThe4thBeWithYou,,0,123
MayThe4thBeWithYou,"7:43 AM · May 4, 2020",alivia @aliviahannant,*blows kiss to the stars* for luke skywalker  #MayThe4thBeWithYou0:2822.3K viewsFrom 𝒟𝒶𝓃𝒾𝑒ℒ365197,1,197,3,65,#MayThe4thBeWithYou,,0,97
MayThe4thBeWithYou,"8:14 AM · May 4, 2020",The Mary Rose@MaryRoseMuseum,"Closed, we are, but celebrate #StarWarsDay, we must!

#MayThe4thBeWithYou0:30",1,,,,"#StarWarsDay,#MayThe4thBeWithYou",,0,77
MayThe4thBeWithYou,"8:13 AM · May 4, 2020",Britton Wearn@BCWearn,It's #StarWarsDay and Yoda has visited! #MayThe4thBeWithYou11,0,1,,1,"#StarWarsDay,#MayThe4thBeWithYou",,0,61
MayThe4thBeWithYou,"7:17 AM · May 4, 2020",Words From Blerds (Podcast At Home)@WordsFromBlerds,"shout out to the legend, finn 
you deserved better #MayThe4thBeWithYou0:581.4K views2322",1,22,2,3,#MayThe4thBeWithYou,,0,88
MayThe4thBeWithYou,"7:17 AM · May 4, 2020",ℯ𝓇𝒾𝒸𝓀𝒶@valcontents_,It’s Star Wars day lemme post this again! #MayThe4thBeWithYou0:143.8K views350156,1,156,3,50,#MayThe4thBeWithYou,,0,81
MayThe4thBeWithYou,"8:13 AM · May 4, 2020",𝑻𝒉𝒆 𝑭𝒖𝒓𝒚 𝒐𝒇 🅟🅢🅛@penswolo,"I have more than this but I’m too lazy to bring it out. 
#MayThe4thBeWithYou",0,,,,#MayThe4thBeWithYou,,0,76
MayThe4thBeWithYou,"7:04 AM · May 4, 2020",Shana Fierce@shanafrc,The tragic story that started it all. #MayThe4thBeWithYou19306892,0,892,19,306,#MayThe4thBeWithYou,,0,65
MayThe4thBeWithYou,"7:23 AM · May 4, 2020",tcw spoilers !! | the finale broke me .@padmesanckin,"happy star wars day 
#MayThe4thBeWithYou0:3213.1K viewsFrom tcw spoilers !! | the finale broke me .134109",1,109,1,34,#MayThe4thBeWithYou,,0,105
MayThe4thBeWithYou,"7:48 AM · May 4, 2020",Team Secret@teamsecret,"Today is the only day you can retweet this, don't mess it up #MayThe4thBeWithYou0:086.4K views3265336",1,336,3,265,#MayThe4thBeWithYou,,0,101
MayThe4thBeWithYou,"6:58 AM · May 4, 2020",ju@adamdrivor,happy #MayThe4thBeWithYou day 2:204.6K viewsFrom ju23169,1,69,2,31,#MayThe4thBeWithYou,,0,56
MayThe4thBeWithYou,"8:13 AM · May 4, 2020",Destinie@Destro_ex,The tragic story that started it all #MayThe4thBeWithYou,0,,,,#MayThe4thBeWithYou,,0,56
MayThe4thBeWithYou,"6:28 AM · May 4, 2020",John@Jchughes413,"With so many wrongs in 2020, #CloneWars is one thing that’s gone right. #MayThe4thBeWithYouGIF420",1,20,,4,"#CloneWars,#MayThe4thBeWithYou",,0,97
MayThe4thBeWithYou,"7:00 AM · May 4, 2020",AFC@theafcdotcom,"Happy Intergalactic Star Wars Day from the AFC fam!!!!!! 

#MayThe4thBeWithYou44257",0,57,4,42,#MayThe4thBeWithYou,,0,83
MayThe4thBeWithYou,"7:17 AM · May 4, 2020",Adam Rush@rush_adam,"Rogue One is a masterpiece, any other opinion is wrong 

#MayThe4thBeWithYou
#StarWarsDayGIF2473522",1,522,24,73,"#MayThe4thBeWithYou,#StarWarsDay",,0,99
MayThe4thBeWithYou,"8:12 AM · May 4, 2020",Spectacular Cow@FlawridaProject,Shout out to the women of Star Wars #MayThe4thBeWithYou1,0,1,,,#MayThe4thBeWithYou,,0,56
