Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
T20 India,3:37 pm · 8 Mar 2020,Daniel Alexander@daniel86cricket,"Australia crush India to win  Women's T20 WC, similar the way Australia thrashed India in 2003 Men's WC final. Starc started 2015 men's WC with first over wkt & his wife Alyssa smashed 75. Australia win without the greatest player EPerry. Proper Hammering. #Cricket #CmonAussie",0,391,42,60,"#Cricket,#CmonAussie",,0,277,24.828176658071037
T20 India,3:49 pm · 8 Mar 2020,Rajesh tarakian@RAJESHTarakian,"5 men WC trophies
2 men CT trophies
5 women T20 WC trophies
6 women WC trophies
3 u-19 WC trophies

THIS IS CRICKET AUSTRALIA. KINGS AND QUEENS OF THE CRICKETING WORLD  final india odipovatam na 10th class nunchi chusthuna except 2011 2007 idhi mathram marataledhu",1,,,,,,0,264,15.339299776947406
T20 India,3:49 pm · 8 Mar 2020,Nikhil Kumar Saini@nksaini_852000,Team India made us proud at @T20WorldCup 2020. Win and loose is a part of the game. Congratulations to @AusWomenCricket for winning their 5th T20 World Cup.,0,,,,,"@T20WorldCup,@AusWomenCricket",0,156,27.216552697590863
T20 India,3:38 pm · 8 Mar 2020,Johns.@CricCrazyJohns,"India Women in last three knock-outs in World Cup:

2017 ODI WC Final - Lost
2018 T20 WC Semi - Lost 
2020 T20 WC Final - Lost",0,55,6,12,,,0,126,32.34983196103152
T20 India,3:49 pm · 8 Mar 2020,Muqaddar Ali PTI@MuqaddarAli11,"Australia Women Won The ICC Women's T20 Cricket World Cup 2020 
They Beat India In Final By 85 Runs 
#ICCWomensT20WorldCup2020",0,,,,#ICCWomensT20WorldCup2020,,0,126,29.488391230979428
T20 India,3:43 pm · 8 Mar 2020,All India Mahila Congress@MahilaCongress,"You have all our love Team Blue

Playing at a packed MCG with over 85,000 people supporting women players, @BCCIWomen, you’ve played some exciting cricket during this T20 World Cup ",0,27,,7,,@BCCIWomen,0,181,12.126781251816649
T20 India,1:20 pm · 7 Mar 2020,DishTV India@DishTV_India,"Q5. “Where is the ICC Women’s T20 World cup tournament being held this year?” 
Stand a chance to win amazing prizes by giving the correct answer using #WomensCricketWithDishTV
#ContestAlert #ContestIndia #Contest",1,136,164,115,"#WomensCricketWithDishTV,#ContestAlert,#ContestIndia,#Contest",,0,212,12.126781251816649
T20 India,12:26 pm · 5 Mar 2020,The Secular@TheSecular_News,Women’s T20 World Cup: India’s unbeaten journey to maiden final in Australia https://thesecularnews.com/womens-t20-world-cup-indias-unbeaten-journey-to-maiden-final-in-australia/…,1,17,,3,,,1,179,29.704426289300223
T20 India,2:52 pm · 8 Mar 2020,T20 World Cup@T20WorldCup,"Harmanpreet Kaur scored more than three times as many runs in her first innings of the 2018 #T20WorldCup as she has in the entirety of the 2020 tournament.

A campaign to forget for India's skipper.",0,162,11,18,#T20WorldCup,,0,198,10.206207261596575
T20 India,3:46 pm · 8 Mar 2020,Tanmay Hatnagar@THatnagar,"Final ICC Womens T20 WC 2020
IndW vs AusW, Melbourne
Australia Women won by 85 runs
Bt Well Played India Women..Proud Of u
#RangBarseWithSid",0,,,4,#RangBarseWithSid,,0,140,27.216552697590863
T20 India,3:43 pm · 8 Mar 2020,Bloggvalley@bloggvalley,"New post: India vs Australia Women’s T20 Live Score, Women’s T20 World Cup Final Live Updates: AUS beat IND by 85 ru",1,,,,,,2,116,37.49999999999999
T20 India,1:00 pm · 7 Mar 2020,DishTV India@DishTV_India,"Q3. “Where does India currently stand in the Women’s ICC T20 World ranking?”
Don’t forget to answer using #WomensCricketWithDishTV and get a chance to win amazing prizes.

#ContestAlert #ContestIndia #Contest",1,128,166,109,"#WomensCricketWithDishTV,#ContestAlert,#ContestIndia,#Contest",,0,208,24.253562503633297
T20 India,9:04 pm · 7 Mar 2020,All India Mahila Congress@MahilaCongress,"India will be playing their maiden T20 World Cup final tomorrow!!

What better celebration on #InternationalWomensDay when our women's cricket team brings the T20 World Cup home!

All the best Girls!",0,394,13,133,#InternationalWomensDay,,0,199,33.54101966249684
T20 India,2:16 pm · 8 Mar 2020,T20 World Cup@T20WorldCup,"Huge wicket!

Shafali Verma - India's leading run-scorer this #T20WorldCup - goes for 2!

SCORE  http://bit.ly/WT20WC-23",0,94,7,14,#T20WorldCup,,1,120,15.811388300841896
T20 India,10:47 am · 5 Mar 2020,ANI Digital@ani_digital,"India reaches finals of ICC Women's T20 World Cup for the first time

Read @ANI Story | https://aninews.in/news/sports/cricket/india-reaches-finals-of-icc-womens-t20-world-cup-for-the-first-time20200305104600/…",1,1.6K,30,280,,@ANI,1,210,37.13906763541036
T20 India,10:41 am · 5 Mar 2020,T20 World Cup@T20WorldCup," MATCH ABANDONED 

For the first time in their history, India have qualified for the Women's #T20WorldCup final ",0,7.9K,380,1K,#T20WorldCup,,0,112,15.075567228888179
