Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
india vs australia wc t20 final,10:50 am · 8 Mar 2020,The Quint@TheQuint,"LIVE | The toss between #India and #Australia for the finals of #WomensT20WorldCup will take place at 12 pm today. 

Follow for updates:",1,21,1,2,"#India,#Australia,#WomensT20WorldCup",,2,136,16.012815380508716
india vs australia wc t20 final,12:10 pm · 8 Mar 2020,isport@isport66727715,"Women’s T20 World Cup 2020 Final Live ►LIVE► Score, Result【T20 WC 2020 Final 】Watch ICC Women’s T20 World Cup Final En Vivo!! India vs Australia Live Stream Women’s Cricket India vs Australia 2020 Live Stream 
LIVE TV>.…https://live-nbcsports-59b9ed.ingress-alpha.easywp.com/womens-t20-world-cup-2020-final-live-%e2%96%balive%e2%96%ba-score-result%e3%80%90t20-wc-2020-final-%e3%80%91watch-icc-womens-t20-world-cup-final-en-vivo-india-vs-australia-live-stream-womens/…
…https://live-nbcsports-59b9ed.ingress-alpha.easywp.com/womens-t20-world-cup-2020-final-live-%e2%96%balive%e2%96%ba-score-result%e3%80%90t20-wc-2020-final-%e3%80%91watch-icc-womens-t20-world-cup-final-en-vivo-india-vs-australia-live-stream-womens/…",1,,1,,,,2,716,49.44990010975897
india vs australia wc t20 final,12:18 pm · 8 Mar 2020,The Quint@TheQuint,"LIVE | Aussie captain Meg Lanning wins the toss and has elected to bat first in the finals of the #WomensT20WorldCup against India. 

Follow for updates:",1,11,,3,#WomensT20WorldCup,,2,153,7.332355751067665
india vs australia wc t20 final,2:01 pm · 8 Mar 2020,The Quint@TheQuint,"Looks like India managed to pull things back in final overs! But they need to chase the highest runs in history of #T20WorldCup
Australia finish with 184/4 in 20 overs 
(B Mooney 78*, A Healy 75; D Sharma 2/38)

#AUSvIND 

Catch all LIVE updates:",0,4,,1,"#T20WorldCup,#AUSvIND",,2,246,16.36634176769943
india vs australia wc t20 final,2:42 pm · 8 Mar 2020,Jagran English@JagranEnglish,"#INDvAUS Women's T20 WC Final | This is going from bad to worse for India
#TaniyaBhatia #T20WorldCup #WorldCupFinal",0,1,,,"#INDvAUS,#TaniyaBhatia,#T20WorldCup,#WorldCupFinal",,2,115,38.490017945975055
india vs australia wc t20 final,11:41 am · 8 Mar 2020,India TV@indiatvnews,"India vs Australia, #T20WorldCup  : Players to watch out for in final",0,22,1,1,#T20WorldCup,,2,69,49.2365963917331
india vs australia wc t20 final,3:36 pm · 6 Mar 2020,Express Sports@IExpressSports,"#WomensT20WorldCup #INDvsAUS

Mitchell Starc leaves SA tour early to attend wife Alyssa Healy’s T20 WC final vs India
@ahealy77 will be a part of Australia's team which will take on an in-form Indian side at the MCG on Sunday.

More:",1,195,,24,"#WomensT20WorldCup,#INDvsAUS",@ahealy77,2,233,34.992710611188265
india vs australia wc t20 final,2:14 pm · 8 Mar 2020,Haryana BreakingNews@HaryanaUpdate,"Women’s T20 WC Final Live: भारत को मिला विशाल टारगेट, रचना होगा इतिहास | Womens T20 World Cup Live: India Womens vs Australia Womens Final Live, India vs Australia Scorecard, Womens T20 WC Final Live Updates",0,,,,,,2,207,58.63954716083738
india vs australia wc t20 final,12:59 pm · 8 Mar 2020,The Quint@TheQuint,"#INDvAUS LIVE | 6 boundaries off Alyssa Healy’s bat and 3 off Beth Mooney’s so far and Australia are looking in full command of the match so far.

AUS: 47/0 with just 5 overs down.

Follow for updates :",1,5,,,#INDvAUS,,2,202,5.773502691896258
india vs australia wc t20 final,1:19 pm · 8 Mar 2020,Jagran English@JagranEnglish,"#INDvAUS Women's T20 WC Final | Shafali Verma becomes youngest ever player to play Cricket World Cup final
#T20WorldCupFinal #ShafaliVerma
@TheShafaliVerma",1,,,,"#INDvAUS,#T20WorldCupFinal,#ShafaliVerma",@TheShafaliVerma,2,155,34.050261230349946
