Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
narendra modi,2:02 pm · 8 Mar 2020,Narendra Modi@narendramodi,"You have heard about handicrafts from different parts of India. My fellow Indians, I present to you handicrafts of the Banjara community in rural Maharashtra. I have been working on this for the last 2 decades and have been assisted by a thousand more women- Vijaya Pawar",1,9.2K,304,2.4K,,,0,271,0.0
narendra modi,1:05 pm · 8 Mar 2020,Narendra Modi@narendramodi,"Be a warrior but of a different kind!

Be a water warrior.

Have you ever thought about water scarcity? Each one of us can collectively act to create a water secure future for our children 

Here is how I am doing my bit. 

@kalpana_designs",1,12.5K,497,2.9K,,@kalpana_designs,0,240,0.0
narendra modi,1:07 pm · 8 Mar 2020,Narendra Modi@narendramodi,"Small efforts can make a big impact. 

Water is a valuable inheritance we got. Lets not deprive our next generations. Contribute by using water responsibly, harvesting rainwater, saving lakes, recycling used water and creating awareness. 

@kalpana_designs",0,4.3K,104,960,,@kalpana_designs,0,256,0.0
narendra modi,1:07 pm · 8 Mar 2020,Narendra Modi@narendramodi,"I never imagined I could bring back birds to a lake or tweet from our PMs handle. With a firm resolve, the impossible can emerge. We can bring a change in the communities with collective action on how we manage water resources. Let us be become problem solvers.

@kalpana_designs",0,3.8K,142,884,,@kalpana_designs,0,279,0.0
narendra modi,1:13 pm · 8 Mar 2020,Kapil@kapsology,"She is Mansi Soni. 

She was in 20s when she was snooped by Amit Shah on the instructions of Narendra Modi when he was CM of Gujarat.

She was forced to leave India and stay anonymous all her life by Modi and Shah

#BraveIndianWomen
#WomensDay",0,1.2K,26,643,"#BraveIndianWomen,#WomensDay",,0,243,23.57022603955158
narendra modi,3:29 pm · 8 Mar 2020,Narendra Modi@narendramodi,"I wish to inspire every single individual to take action and ace water management. Conserve and save. Sensitise others, work with communities. - @kalpana_designs #SheInspiresUs",0,2.7K,162,540,#SheInspiresUs,@kalpana_designs,0,176,0.0
narendra modi,3:26 pm · 8 Mar 2020,Narendra Modi@narendramodi,Yes absolutely they are to be empowered to be problem solvers. I also work with schools creating Waterpreuners for tomorrow. - @kalpana_designs #SheInspiresUs,0,1.8K,54,374,#SheInspiresUs,@kalpana_designs,0,158,0.0
narendra modi,4:36 pm · 8 Mar 2020,MyGovIndia@mygovindia,"Bina Devi from Bihar is a Social Activist, who introduced Green Revolution in Munger through tree plantations, water harvesting & community participation. She has taken over @narendramodi’s social media handles for a day. Let's see what she has to say! #SheInspiresUs @smritiirani",1,2,,1,#SheInspiresUs,"@narendramodi,@smritiirani",0,280,0.0
narendra modi,3:13 pm · 8 Mar 2020,Rishi Kesariya@KesariyaRishi,"WHY ARE JUDGES PLAYING GOD IN SAVING RIOTERS! @myogiadityanath @dgpup @Uppolice @UPGovt @RBI @FinMinIndia @UNHumanRights @rsprasad @ncert
@PMOIndia @narendramodi @narendramodi_in @NIA_India @dir_ed @NITIAayog @PrakashJavdekar @cbic_india @AmitShahOffice @AmitShah @adgpi @IAF_MCC",1,5,1,4,,"@myogiadityanath,@dgpup,@Uppolice,@UPGovt,@RBI,@FinMinIndia,@UNHumanRights,@rsprasad,@ncert,@PMOIndia,@narendramodi,@narendramodi,@NIA_India,@dir_ed,@NITIAayog,@PrakashJavdekar,@cbic_india,@AmitShahOffice,@AmitShah,@adgpi,@IAF_MCC",0,279,0.0
narendra modi,2:52 pm · 8 Mar 2020,Rishi Bagree @rishibagree,"In the first place  #LicypriyaKangujam was not invited as PMO team can't handover Crucial @narendramodi account to 8 years kid thereby violating Social media norms.

Her name just got featured in @mygovindia handle under the hastag #SheInspiresUs and she mistook it as PMO invite.",0,833,20,283,"#LicypriyaKangujam,#SheInspiresUs","@narendramodi,@mygovindia",0,280,0.0
narendra modi,3:20 pm · 8 Mar 2020,Tilak@Tilak19720499,"#GujratBhartiBachao_SolveGR
@narendramodi @vijayrupanibjp 
Where is sensitive cm & pm
Where is chowkidar?Is he sleeping??Is Chowkidar only for election?Where is unity if government divide us in graduated & 12th, engineer & other branches, reserved & unreserved.",0,5,,21,#GujratBhartiBachao_SolveGR,"@narendramodi,@vijayrupanibjp",0,261,0.0
narendra modi,2:46 pm · 8 Mar 2020,Aaqib Bashir@AaqibDarzi,"Don't play with our Future
Don't play with our Career
Don't Scrap the recruitment.

#WeWantJKBankResults
@rkchibber @MurmuGirish @HRDMinistry @asadowaisi @dcjammuofficial @RavinderBJPJK @rashtrapatibhvn @AmitShah @narendramodi @JKgrievance @diprjk @DrJitendraSingh @DrSyedSehrish",1,3,,21,#WeWantJKBankResults,"@rkchibber,@MurmuGirish,@HRDMinistry,@asadowaisi,@dcjammuofficial,@RavinderBJPJK,@rashtrapatibhvn,@AmitShah,@narendramodi,@JKgrievance,@diprjk,@DrJitendraSingh,@DrSyedSehrish",0,279,0.0
narendra modi,2:01 pm · 8 Mar 2020,Siddharth@svaradarajan,"With official death toll of 53 in the Delhi Riots, @narendramodi is first leader to get two slots in India's Top 5 Neros List since 2000—Gujarat 2002 (Modi), Kokrajhar 2012 (Gogoi), Muzaffarnagar 2013 (Akhilesh), Delhi 2020 (Modi), Kandhamal 2008 (Patnaik)",1,122,10,72,,@narendramodi,2,256,20.41241452319315
narendra modi,4:28 pm · 8 Mar 2020,Times of India@timesofindia,"#InternationalWomensDay 

Women's Day: Women achievers share their inspiring stories on PM Narendra Modi's Twitter account 

http://toi.in/fdmw8Z/a24gk",0,17,,3,#InternationalWomensDay,,1,151,27.735009811261456
