Query,Date,user,Tweet,Img_present,Likes,commnets,retweet,tags,mentions,url_count,length,cosine_similarity(%)
netflix,7:42 am · 7 May 2020,Kung Flu Fluffy@That_FluffyGuy_,"Netflix show #NeverHaveIEver actor Darren Barnet on SHAH RUKH KHAN:

@iamsrk0:152K views3786",1,86,,37,#NeverHaveIEver,@iamsrk,0,92,
netflix,8:44 am · 7 May 2020,James Felton@JimMFelton,Quite something to watch the people who’ve been twatting on about our mighty Blitz spirit for the past 3 years switch to deciding it’s so inconvenient staying indoors binging Netflix that they’d rather everyone died right when we’re approaching the actual death toll of the Blitz333001.1K,1,1.1K,33,300,,,0,288,
netflix,9:49 am · 7 May 2020,Robert Evans (The Only Robert Evans)@IwriteOK,"These stupid motherfuckers were trying to overthrow a national government and film a goddamn Netflix special 

If Venezuela gives them back the only decent place for us to put these men is The SeaQuote TweetAric Toler@AricToler · 10hThe American Crossfit mercs trying to invade Venezuela were going to film it and turn it into (at best) an awful documentary or (more realistically) an Instagram post with clips from 300 mixed in1125118",0,118,11,25,,,0,435,
netflix,8:55 am · 7 May 2020,Sdudladudla@Sdudladudla,#LockdownTaughtMe that Netflix is really not the girl she thinks she is111759,0,59,11,17,#LockdownTaughtMe,,0,77,
netflix,9:45 am · 7 May 2020,⚘ ᴏᴘᴇɴ@nfAchll,"116th buyer of Netflix account

Sino gusto pa ng Netflix account? 

Dm sa gusto pa magavail 35",0,5,,3,,,0,94,
netflix,8:47 am · 7 May 2020,Florence Pugh Updates@UpdatesPugh,"The ""Marcella"" series is available on Netflix Latinamerica. Remember that Florence appears in season 1, episodes 1, 2 and 3127",1,7,1,2,,,0,126,
netflix,10:07 am · 7 May 2020,PREMIUM ACCS FOR SALE@EliOnlineShop,"1 MONTH NETFLIX ACCOUNT FOR SALE
SOLO ACCOUNT
PHP 260
Ultra HD
All Devices
Changeable Password
Renewable
4 Screens 5 Devices
No Hold

SHARED ACCOUNT
PHP 90
1 Profile (1 at a time use)
All Devices
Ultra HD

PAYMENT: gcash • globe load +

Dm me1",0,1,,,,,0,243,
netflix,7:03 am · 7 May 2020,Ceejay  • SSANGGAP POCHA D-13 • YI EN • @Ceejay_Owseven,"Melody, Sungjae's drama Mystic Pop-up Bar is now available on Netflix. 

Make sure to :
▪︎ Add it to your list
▪︎ Give it a 
▪︎ Share the link to your friends

Link : https://netflix.com/title/81264882?s=a&trkid=13747225&t=twt…
#BTOB #비투비 @OFFICIALBTOB14371",0,71,1,43,"#BTOB,#비투비",@OFFICIALBTOB,1,257,
netflix,10:08 am · 7 May 2020,A.B. Abby@albertbetta,"Oh “Into the Wild” is coming soon on Netflix? That movie broke my hart! 



Il a inspiré aussi la fin du film 99franc de #FredericBeigbeder
https://netflix.com/title/70075064?s=i&trkid=13747225&t=twt…",0,,,,#FredericBeigbeder,,1,200,
netflix,10:04 am · 7 May 2020,Abir Abdul Rahim@AbirAbdulRahim,"This documentary is everything  Cried from the beginning. Every word said hits home. 

You are remarkable @MichelleObama, thank you for documenting this journey of yours throughout #Becoming. 

Seen “Becoming” on Netflix yet?Becoming | Netflix Official SiteJoin former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others as she tours with ""Becoming.""netflix.com",0,,,,#Becoming,@MichelleObama,2,416,
netflix,10:00 am · 7 May 2020,I Am Depressed@IAmDepressed16,#Riverdale me out here waiting for Riverdale season 4 to come out on Netflix May 14th:11,0,1,1,,#Riverdale,,0,88,
netflix,9:46 am · 7 May 2020,(ง'̀-'́)ง *bbc*@vivis_giggle,I just finished this series #ExtracurricularNetflix @netflix give them a second seasonThe following media includes potentially sensitive content. Change settingsView,0,,,,#ExtracurricularNetflix,@netflix,0,165,
