Query,username,created_at,verified,followers_count,friends_count,listed_count,tweet,date,Img_present,likes,comments,retweets,tags,mentions,sum_followers_mention,url_count
artificial intelligence,Margrethe Vestager@vestager,20-01-09 11:55,1,274463,431,1961,"We want use technology to shape the world! With too few women in tech, there is a risk that the data feeding #ArtificialIntelligence is gender-biased. And that we don't see the world as it is. Together let's change this #IWD2020 #womenintech #DigitalEU #InternationalWomensDay",4:05 pm · 8 Mar 2020,1,85,3,37,"#ArtificialIntelligence,#IWD2020,#womenintech,#DigitalEU,#InternationalWomensDay",,0,0
artificial intelligence,Kwara Build | Africa's Next Builders @kwarabuild,23-06-18 10:54,0,1349,99,1,"There will be quality presentations  on virtualization and Cloud computing, Artificial Intelligence, future of work, and startup pitches. There will also be networking opportunities, idea formulation, dialogues, and a Bootcamp.

2/3",12:48 pm · 6 Mar 2020,0,34,1,22,,,0,0
artificial intelligence,Women's Brain Proj.@womensbrainpro,13-02-17 21:07,0,4330,4997,65,"Our leader for sex and gender differences in #AI @Davide__Cirillo presents at the #LSretreat2020 “Sex and Gender Bias in Artificial Intelligence for Health"" we need be aware when developing new algorithms: data explainability debiasing word embeddings #ethics #womensbrainpro",10:50 pm · 6 Mar 2020,1,37,0,17,"#AI,#LSretreat2020,#ethics,#womensbrainpro",@Davide__Cirillo,217,0
artificial intelligence,Online Courses Tracker@comidoc,21-06-18 14:51,0,398,1,5,"Digital Voice Cloning using Artificial Intelligence (AI)  

Length: 37 total mins
Rating: 2.67
Students: 9636
Last update: January 2020 

=> http://bit.ly/38uqTDD
#udemy #udemycoupon",4:12 pm · 8 Mar 2020,1,0,0,0,"#udemy,#udemycoupon",,0,1
artificial intelligence,Dionisios Vrochides@vrochides,13-03-10 7:48,0,48,18,0,Dr Watson’s presentation on artificial intelligence utilization for predicting response to neoadjuvant chemotherapy stirred a lot of interesting discussion,2:27 am · 8 Mar 2020,1,8,0,3,,,0,0
artificial intelligence,MyGovIndia@mygovindia,28-07-14 6:57,1,1705268,193,908,"Geetha Manjunath is the co-founder of an artificial intelligence-based healthcare startup that helps with early detection of breast cancer in a way that is safe, non-touch, radiation-free, and low-cost.
#SheInspiresUs",10:41 am · 6 Mar 2020,1,347,11,89,#SheInspiresUs,,0,0
artificial intelligence,Linh@Linh23052846,15-12-19 12:57,0,5,0,0,I challenged Artificial Intelligence and lost;( Challenge players from around the world! #BrainWars http://brainwarsapp.com,9:53 am · 8 Mar 2020,1,1,0,0,#BrainWars,,0,1
artificial intelligence,Andrew Yin @andrewyingang,14-03-19 0:08,0,3554,13,3,"When an artificial intelligence hacks its reward function, that is seen as an existential threat. And yet this is allowed?",4:51 am · 8 Mar 2020,1,65,1,16,,,0,0
artificial intelligence,Economic Times@EconomicTimes,13-05-09 12:54,1,3440596,43,7854,"#ETGBS | The panellists also debated the impact of technological changes and artificial intelligence on jobs, but the general view was that these technologies were vital for India.",2:45 pm · 7 Mar 2020,1,8,0,1,#ETGBS,,0,2
artificial intelligence,Lord Commander@AhmadGanga,01-05-12 10:48,0,9339,6387,6,"Everyone wants to remain relevant in the labour market, but none is ready to discuss the future of work and the ubiquitous emergence of Artificial Intelligence that's doing the work humankind has been doing since industrial revolution – 12,000 years ago.",3:08 am · 8 Mar 2020,0,30,0,7,,,0,0
