Query,Date,user,Tweet,Img_present,Likes,commnets,retweet
saina nehwal,5:53 pm · 12 Feb 2020,India Today@IndiaToday,"Gopichand, India's ace badminton coach, who recently received a nod from the International Olympics Committee for his work, has trained talents like Saina Nehwal and P.V. Sindhu.
#IndiaTodayInsigh",1,33,5,5
saina nehwal,3:18 pm · 12 Feb 2020,priksha thakur@PrikshaThakur,"#Who_Is_Kaal
Essence Of Gita
Why In Gita Adhyay 18 Shlok 62 and Adhyay 15 Shlok 4,
The Speaker of Gita is himself telling Arjun to go in the refuge of some other God.

- Sant Rampal Ji Maharaj
Watch Ishwar channel -8:30 PM
@NSain",1,2,,2
saina nehwal,4:23 pm · 10 Feb 2020,badminton & spurs@BadmintonCoys,"3. Kashyap Parupalli (MS) - Saina Nehwal (WS) (IND) 

Kashyap Parupalli married the olympic medalist Saina Nehwal in 2018. Been in relationships since 2007 and postpone the marriage to focus on badminton. They had seen coaching to each other on the tournament, what a coupl",1,4,1,1
saina nehwal,3:22 pm · 9 Feb 2020,Saina Nehwal@NSaina,Sunday funday https://instagram.com/p/B8VZxHPjsEk/?igshid=1ephes6xc45xm,1,552,13,18
saina nehwal,10:21 am · 12 Feb 2020,Arvind Kejriwal@ArvindKejriwal,Thank you @NSaina j,1,3K,114,242
saina nehwal,3:32 am · 11 Feb 2020,BRAHMA PRASAD BJP ODISHA@brahmaprasadbjp,Indian Badminton Star Saina Nehwal joins BJP says she is inspired by PM Modi's hardwork. #SwagatamSaina,1,,,
saina nehwal,3:21 pm · 12 Feb 2020,SainaWillQualifyForTokyo2020@Im_PranayD,Wow....this is crazy.....proof that @NSaina has the craziest fans ever a die hard fan of her @thota_sarath has got a tattoo of Saina's name on his hand..... #sainanehwa,1,5,,2
saina nehwal,3:27 pm · 12 Feb 2020,Times of News@TimesofNewsHUB,"Badminton Asia Championships: Saina Nehwal, HS Prannoy Lose In Semis https://india.timesofnews.com/sports/badminton/badminton-asia-championships-saina-nehwal-hs-prannoy-lose-in-semis-2.html",0,,,
saina nehwal,7:27 am · 12 Feb 2020,Times of News@TimesofNewsHUB,"Thomas And Uber Cup: Indian Shuttlers Struggle In Group Match, Saina Nehwal Loses Her Opening Tie https://india.timesofnews.com/sports/badminton/thomas-and-uber-cup-indian-shuttlers-struggle-in-group-match-saina-nehwal-loses-her-opening-tie-2.html",1,,,
saina nehwal,11:35 am · 5 Feb 2020,Saina Nehwal@NSaina,Well said sir !,1,3.7K,96,428
saina nehwal,2:24 pm · 10 Feb 2020,Times of News@TimesofNewsHUB,Thomas And Uber Cup: Saina Nehwal Loses As Japan Thrash India 5-0 https://india.timesofnews.com/sports/badminton/thomas-and-uber-cup-saina-nehwal-loses-as-japan-thrash-india-5-0-2.html,1,,,
saina nehwal,3:27 pm · 12 Feb 2020,Times of News@TimesofNewsHUB,"Asia Badminton Championship: Saina Nehwal, HS Prannoy Enter Semis; PV Sindhu, Kidambi Srikanth Ousted https://india.timesofnews.com/sports/badminton/asia-badminton-championship-saina-nehwal-hs-prannoy-enter-semis-pv-sindhu-kidambi-srikanth-ousted-2.html",0,,,
saina nehwal,4:54 pm · 10 Feb 2020,SainaWillQualifyForTokyo2020@Im_PranayD,Missing you @NSaina Come back stronger....,1,12,,2
saina nehwal,2:24 pm · 10 Feb 2020,Times of News@TimesofNewsHUB,"Malaysia Open: Saina Nehwal Advances To Second Round, Faces Akane Yamaguchi https://india.timesofnews.com/sports/badminton/malaysia-open-saina-nehwal-advances-to-second-round-faces-akane-yamaguchi-2.html",1,1,,
saina nehwal,10:16 am · 10 Feb 2020,Times of News@TimesofNewsHUB,"Malaysia Open: PV Sindhu, Kidambi Srikanth Through To Quarters; Saina Nehwal Knocked Out https://india.timesofnews.com/sports/badminton/malaysia-open-pv-sindhu-kidambi-srikanth-through-to-quarters-saina-nehwal-knocked-out-2.html",1,,,
saina nehwal,10:31 pm · 11 Feb 2020,Chennai Times@ChennaiTimesTOI,The adorable dad-daughter duo from the sports circle! @NSaina and @NHarvi,1,17,,
